transaction_id,customer_id,bank_id,amount,fraud_score,severity,reviewed_by,review_date,disposition
626,803,615,8829.18,3,High,,,
616,115,694,8806.59,3,High,,,
903,14,852,8724.29,3,High,,,
361,683,453,8674.97,3,High,,,
666,385,168,8594.71,3,High,,,
154,809,751,8457.56,3,High,,,
34,599,166,8244.88,3,High,,,
595,861,470,7733.22,3,High,,,
76,319,330,7633.46,3,High,,,
580,917,809,7548.75,3,High,,,
804,694,330,7431.94,3,High,,,
533,343,369,7388.8,3,High,,,
242,177,875,7309.8,3,High,,,
183,784,807,7294.25,3,High,,,
662,754,530,7283.99,3,High,,,
321,866,575,7262.49,3,High,,,
171,442,875,7084.1,3,High,,,
287,301,974,7056.83,3,High,,,
846,784,343,6969.96,3,High,,,
295,484,533,6888.92,3,High,,,
200,224,854,6821.33,3,High,,,
6,252,740,6815.88,3,High,,,
96,611,812,6738.35,3,High,,,
337,343,189,6413.72,3,High,,,
75,268,316,6210.56,3,High,,,
916,187,18,6137.93,3,High,,,
95,252,519,5938.74,3,High,,,
136,549,74,5899.61,3,High,,,
593,769,122,5868.06,3,High,,,
83,9,537,5831.24,3,High,,,
738,771,121,5734.31,3,High,,,
508,555,858,5600.47,3,High,,,
569,771,649,5545.83,3,High,,,
304,965,278,5483.55,3,High,,,
694,196,72,5463.56,3,High,,,
292,126,395,5438.63,3,High,,,
563,594,288,5050.63,3,High,,,
747,64,42,4907.27,3,High,,,
743,153,330,4897.25,3,High,,,
59,323,147,4873.85,3,High,,,
243,639,508,4805.8,3,High,,,
510,347,342,4713.35,3,High,,,
798,286,278,4247.92,3,High,,,
50,830,232,4156.85,3,High,,,
412,611,699,4150.01,3,High,,,
168,626,1003,4136.61,3,High,,,
159,120,654,4025.26,3,High,,,
486,692,790,3884.58,3,High,,,
554,160,700,3828.55,3,High,,,
102,85,950,3786.84,3,High,,,
907,231,97,3729.47,3,High,,,
464,19,527,3668.41,3,High,,,
478,68,918,3637.41,3,High,,,
1000,247,313,3488.39,3,High,,,
832,246,72,3371.53,3,High,,,
863,561,614,3337.21,3,High,,,
93,955,201,3331.77,3,High,,,
174,457,546,3302.83,3,High,,,
396,119,518,3114.5,3,High,,,
139,671,309,2862.95,3,High,,,
774,621,776,2861.55,3,High,,,
813,857,238,2708.88,3,High,,,
795,252,681,2658.78,3,High,,,
967,404,746,2618.9,3,High,,,
301,439,790,2480.82,3,High,,,
680,784,978,2383.42,3,High,,,
751,145,910,2280.84,3,High,,,
830,467,822,2126.21,3,High,,,
55,786,885,2108.26,3,High,,,
675,817,18,2078.07,3,High,,,
62,79,537,1885.15,3,High,,,
152,174,134,1884.82,3,High,,,
895,755,546,1825.81,3,High,,,
251,707,196,1822.57,3,High,,,
988,211,584,1816.67,3,High,,,
342,424,555,1810.19,3,High,,,
220,268,554,1806.41,3,High,,,
298,747,787,1804.21,3,High,,,
689,551,351,1633.7,3,High,,,
362,75,546,1225.22,3,High,,,
558,185,108,1211.27,3,High,,,
494,307,669,1105.99,3,High,,,
702,888,639,1081.23,3,High,,,
39,987,98,972.24,3,High,,,
121,343,1003,903.03,3,High,,,
854,988,848,694.14,3,High,,,
439,407,671,578.19,3,High,,,
160,822,955,251.09,3,High,,,
938,9,508,40.42,3,High,,,
332,369,17,9988.13,2,Medium,,,
319,222,697,9964.43,2,Medium,,,
843,209,182,9954.31,2,Medium,,,
962,785,501,9921.79,2,Medium,,,
881,658,308,9912.62,2,Medium,,,
913,801,1009,9880.61,2,Medium,,,
821,95,930,9856.99,2,Medium,,,
271,961,944,9821.71,2,Medium,,,
603,421,383,9815.7,2,Medium,,,
100,552,697,9805.83,2,Medium,,,
958,507,622,9798.69,2,Medium,,,
802,391,434,9763.79,2,Medium,,,
106,173,750,9735.81,2,Medium,,,
530,391,1000,9679.24,2,Medium,,,
456,843,195,9673.62,2,Medium,,,
996,580,270,9657.76,2,Medium,,,
428,707,132,9652.95,2,Medium,,,
537,501,867,9636.4,2,Medium,,,
149,93,680,9593.95,2,Medium,,,
944,311,973,9571.68,2,Medium,,,
933,953,760,9532.44,2,Medium,,,
335,344,685,9525.79,2,Medium,,,
737,729,25,9501.07,2,Medium,,,
546,492,233,9482.81,2,Medium,,,
284,525,235,9476.66,2,Medium,,,
545,780,808,9452.52,2,Medium,,,
469,849,93,9442.85,2,Medium,,,
520,394,173,9432.86,2,Medium,,,
542,999,408,9429.64,2,Medium,,,
131,616,843,9411.5,2,Medium,,,
965,649,590,9411.22,2,Medium,,,
219,881,324,9397.79,2,Medium,,,
570,94,215,9394.08,2,Medium,,,
735,108,457,9337.53,2,Medium,,,
143,356,58,9319.83,2,Medium,,,
814,718,608,9300.06,2,Medium,,,
899,326,725,9293.79,2,Medium,,,
390,523,180,9261.44,2,Medium,,,
837,164,903,9203.33,2,Medium,,,
197,394,107,9172.74,2,Medium,,,
588,153,992,9016.89,2,Medium,,,
674,100,441,8986.67,2,Medium,,,
822,597,433,8986.3,2,Medium,,,
966,174,682,8957.62,2,Medium,,,
642,454,925,8919.97,2,Medium,,,
622,82,9,8910.06,2,Medium,,,
926,296,753,8881.09,2,Medium,,,
365,517,627,8868.4,2,Medium,,,
213,956,939,8857.61,2,Medium,,,
992,474,536,8795.33,2,Medium,,,
211,980,111,8721.51,2,Medium,,,
179,294,49,8710.94,2,Medium,,,
805,153,379,8706.3,2,Medium,,,
602,162,278,8705.3,2,Medium,,,
585,663,613,8685.31,2,Medium,,,
124,268,254,8579.15,2,Medium,,,
275,429,433,8542.36,2,Medium,,,
979,907,874,8529.58,2,Medium,,,
300,216,848,8480.02,2,Medium,,,
504,343,401,8419.59,2,Medium,,,
151,585,871,8389.31,2,Medium,,,
466,199,969,8385.43,2,Medium,,,
297,351,776,8329.63,2,Medium,,,
88,966,52,8320.39,2,Medium,,,
483,511,264,8287.55,2,Medium,,,
223,534,666,8269.02,2,Medium,,,
772,786,199,8266.1,2,Medium,,,
447,812,719,8165.41,2,Medium,,,
572,693,235,8122.23,2,Medium,,,
228,268,314,8119.76,2,Medium,,,
263,299,627,8088.19,2,Medium,,,
547,712,146,8086.58,2,Medium,,,
392,483,691,8077.89,2,Medium,,,
270,593,414,8046.96,2,Medium,,,
800,120,171,8034.61,2,Medium,,,
880,717,157,8022.0,2,Medium,,,
156,559,49,8011.53,2,Medium,,,
232,176,123,7954.56,2,Medium,,,
317,714,202,7879.18,2,Medium,,,
612,795,148,7837.58,2,Medium,,,
541,721,233,7831.37,2,Medium,,,
141,199,547,7797.02,2,Medium,,,
57,169,629,7767.43,2,Medium,,,
516,18,617,7750.07,2,Medium,,,
482,478,313,7721.13,2,Medium,,,
26,308,243,7711.75,2,Medium,,,
973,387,793,7653.14,2,Medium,,,
760,753,646,7646.19,2,Medium,,,
344,929,845,7643.69,2,Medium,,,
736,230,496,7635.07,2,Medium,,,
971,623,470,7631.71,2,Medium,,,
21,25,434,7610.93,2,Medium,,,
864,609,493,7579.24,2,Medium,,,
471,416,308,7531.77,2,Medium,,,
206,887,499,7506.58,2,Medium,,,
409,626,941,7486.47,2,Medium,,,
70,387,243,7462.16,2,Medium,,,
182,798,393,7436.33,2,Medium,,,
742,481,733,7374.96,2,Medium,,,
556,275,566,7354.65,2,Medium,,,
930,498,804,7340.07,2,Medium,,,
42,876,744,7334.72,2,Medium,,,
293,400,985,7321.32,2,Medium,,,
713,996,906,7318.22,2,Medium,,,
683,859,612,7303.01,2,Medium,,,
582,285,686,7300.91,2,Medium,,,
514,671,999,7195.54,2,Medium,,,
289,72,405,7190.82,2,Medium,,,
302,475,610,7181.1,2,Medium,,,
426,351,88,7167.22,2,Medium,,,
472,423,965,7153.5,2,Medium,,,
620,407,442,7128.07,2,Medium,,,
847,728,147,7081.95,2,Medium,,,
529,160,616,7065.13,2,Medium,,,
114,645,924,7054.76,2,Medium,,,
894,251,1001,7046.31,2,Medium,,,
970,52,696,7025.51,2,Medium,,,
89,161,381,7020.76,2,Medium,,,
373,284,906,6981.48,2,Medium,,,
196,553,789,6954.15,2,Medium,,,
502,541,694,6935.92,2,Medium,,,
915,670,482,6929.89,2,Medium,,,
266,924,176,6913.32,2,Medium,,,
233,614,386,6886.38,2,Medium,,,
959,13,925,6884.99,2,Medium,,,
113,503,849,6850.81,2,Medium,,,
455,788,838,6827.54,2,Medium,,,
374,24,480,6825.12,2,Medium,,,
730,140,257,6809.58,2,Medium,,,
384,706,481,6808.62,2,Medium,,,
708,77,441,6801.69,2,Medium,,,
68,292,240,6766.39,2,Medium,,,
470,926,212,6761.3,2,Medium,,,
400,892,323,6753.55,2,Medium,,,
739,460,101,6739.74,2,Medium,,,
752,838,743,6738.57,2,Medium,,,
873,960,646,6711.31,2,Medium,,,
656,578,61,6709.07,2,Medium,,,
16,659,673,6688.2,2,Medium,,,
148,431,525,6655.74,2,Medium,,,
404,742,467,6655.1,2,Medium,,,
280,223,552,6647.48,2,Medium,,,
840,512,1010,6572.08,2,Medium,,,
592,855,313,6540.42,2,Medium,,,
836,661,935,6536.11,2,Medium,,,
440,319,18,6503.59,2,Medium,,,
176,72,995,6493.33,2,Medium,,,
444,177,475,6463.99,2,Medium,,,
453,21,806,6445.35,2,Medium,,,
902,29,43,6418.22,2,Medium,,,
216,989,879,6409.55,2,Medium,,,
679,162,488,6408.91,2,Medium,,,
385,822,469,6405.71,2,Medium,,,
695,909,133,6395.74,2,Medium,,,
698,537,800,6392.35,2,Medium,,,
41,255,153,6382.82,2,Medium,,,
279,309,202,6343.65,2,Medium,,,
896,766,835,6338.1,2,Medium,,,
672,965,33,6296.23,2,Medium,,,
573,753,704,6290.98,2,Medium,,,
859,33,130,6234.57,2,Medium,,,
960,732,511,6209.58,2,Medium,,,
305,802,947,6191.57,2,Medium,,,
227,4,873,6185.55,2,Medium,,,
714,910,181,6176.08,2,Medium,,,
994,472,519,6168.77,2,Medium,,,
914,749,225,6155.52,2,Medium,,,
724,911,996,6140.46,2,Medium,,,
449,867,776,6112.06,2,Medium,,,
359,957,988,6103.91,2,Medium,,,
351,210,879,6094.4,2,Medium,,,
538,167,888,6089.18,2,Medium,,,
226,834,199,6060.93,2,Medium,,,
715,249,98,6058.5,2,Medium,,,
398,364,408,6032.56,2,Medium,,,
990,909,311,6013.79,2,Medium,,,
833,59,885,6010.86,2,Medium,,,
204,800,164,6004.44,2,Medium,,,
172,350,600,6001.63,2,Medium,,,
49,817,869,5989.25,2,Medium,,,
644,784,413,5950.8,2,Medium,,,
659,564,191,5939.31,2,Medium,,,
313,680,612,5933.81,2,Medium,,,
920,579,733,5929.0,2,Medium,,,
506,299,515,5916.62,2,Medium,,,
395,555,656,5857.3,2,Medium,,,
341,364,884,5852.85,2,Medium,,,
129,849,788,5801.69,2,Medium,,,
377,506,148,5776.99,2,Medium,,,
725,23,759,5772.74,2,Medium,,,
397,957,720,5760.31,2,Medium,,,
905,878,54,5750.59,2,Medium,,,
272,732,557,5719.44,2,Medium,,,
363,735,608,5704.01,2,Medium,,,
119,978,675,5689.5,2,Medium,,,
589,963,896,5682.56,2,Medium,,,
519,374,740,5678.63,2,Medium,,,
688,787,455,5671.71,2,Medium,,,
291,247,285,5667.24,2,Medium,,,
434,721,993,5626.44,2,Medium,,,
608,934,399,5625.84,2,Medium,,,
577,160,524,5624.12,2,Medium,,,
399,259,630,5586.2,2,Medium,,,
786,494,580,5585.25,2,Medium,,,
625,471,838,5555.32,2,Medium,,,
503,113,262,5553.1,2,Medium,,,
939,846,103,5547.11,2,Medium,,,
548,412,647,5494.18,2,Medium,,,
286,838,511,5490.4,2,Medium,,,
325,714,602,5466.56,2,Medium,,,
308,187,927,5439.16,2,Medium,,,
474,217,755,5426.31,2,Medium,,,
928,191,530,5402.23,2,Medium,,,
866,859,82,5390.74,2,Medium,,,
568,955,128,5367.5,2,Medium,,,
918,778,184,5358.12,2,Medium,,,
462,158,535,5251.13,2,Medium,,,
448,155,768,5205.17,2,Medium,,,
246,687,250,5164.46,2,Medium,,,
934,244,121,5153.8,2,Medium,,,
976,723,455,5130.16,2,Medium,,,
883,371,867,5123.12,2,Medium,,,
623,76,801,5108.84,2,Medium,,,
489,524,23,5085.23,2,Medium,,,
921,568,876,5059.83,2,Medium,,,
422,519,50,5045.59,2,Medium,,,
945,987,440,5040.11,2,Medium,,,
924,213,698,5013.57,2,Medium,,,
615,449,616,4974.08,2,Medium,,,
463,246,1001,4942.58,2,Medium,,,
234,348,44,4915.54,2,Medium,,,
950,89,567,4909.12,2,Medium,,,
322,249,147,4906.96,2,Medium,,,
224,464,123,4875.58,2,Medium,,,
43,706,51,4871.09,2,Medium,,,
475,95,963,4851.24,2,Medium,,,
82,643,781,4822.18,2,Medium,,,
740,15,465,4809.83,2,Medium,,,
33,460,471,4787.91,2,Medium,,,
407,475,52,4782.78,2,Medium,,,
869,831,290,4776.3,2,Medium,,,
770,377,996,4709.74,2,Medium,,,
632,779,517,4705.28,2,Medium,,,
817,408,952,4705.23,2,Medium,,,
408,797,652,4704.76,2,Medium,,,
671,674,605,4700.21,2,Medium,,,
596,548,589,4662.69,2,Medium,,,
853,127,313,4648.43,2,Medium,,,
645,780,928,4610.14,2,Medium,,,
609,784,709,4580.7,2,Medium,,,
791,119,128,4576.08,2,Medium,,,
809,881,638,4560.93,2,Medium,,,
451,378,154,4558.89,2,Medium,,,
844,175,502,4553.08,2,Medium,,,
943,498,497,4512.23,2,Medium,,,
28,742,686,4510.92,2,Medium,,,
264,263,960,4503.43,2,Medium,,,
803,524,622,4490.24,2,Medium,,,
834,423,433,4461.35,2,Medium,,,
788,621,15,4419.37,2,Medium,,,
56,878,530,4374.64,2,Medium,,,
942,532,875,4365.61,2,Medium,,,
535,829,143,4336.54,2,Medium,,,
497,343,606,4332.86,2,Medium,,,
812,505,924,4331.55,2,Medium,,,
155,785,167,4329.02,2,Medium,,,
908,966,286,4274.36,2,Medium,,,
2,962,234,4228.66,2,Medium,,,
382,4,322,4173.66,2,Medium,,,
861,48,502,4148.39,2,Medium,,,
476,751,73,4145.44,2,Medium,,,
138,7,968,4133.14,2,Medium,,,
527,88,1006,4131.0,2,Medium,,,
718,301,77,4104.49,2,Medium,,,
613,832,396,4102.58,2,Medium,,,
140,899,1007,4093.14,2,Medium,,,
845,448,442,4091.36,2,Medium,,,
353,141,620,4063.65,2,Medium,,,
940,318,20,4020.19,2,Medium,,,
331,519,422,4016.15,2,Medium,,,
31,142,330,3992.58,2,Medium,,,
249,911,997,3963.45,2,Medium,,,
828,79,548,3956.41,2,Medium,,,
984,824,263,3953.74,2,Medium,,,
749,466,673,3927.74,2,Medium,,,
634,470,1006,3914.0,2,Medium,,,
18,47,934,3910.84,2,Medium,,,
72,107,794,3894.03,2,Medium,,,
452,655,797,3891.31,2,Medium,,,
446,710,12,3854.41,2,Medium,,,
636,382,440,3820.24,2,Medium,,,
591,573,65,3792.94,2,Medium,,,
981,240,539,3740.71,2,Medium,,,
638,974,980,3735.99,2,Medium,,,
704,911,336,3654.79,2,Medium,,,
825,784,251,3601.2,2,Medium,,,
831,171,32,3579.57,2,Medium,,,
761,995,821,3571.16,2,Medium,,,
796,57,830,3548.93,2,Medium,,,
467,142,872,3546.9,2,Medium,,,
655,565,212,3433.1,2,Medium,,,
974,349,17,3433.03,2,Medium,,,
388,650,227,3432.85,2,Medium,,,
794,768,881,3383.69,2,Medium,,,
175,19,399,3355.63,2,Medium,,,
818,310,415,3349.29,2,Medium,,,
709,513,342,3349.05,2,Medium,,,
205,941,147,3343.46,2,Medium,,,
759,375,265,3321.99,2,Medium,,,
239,10,500,3298.52,2,Medium,,,
986,656,318,3289.64,2,Medium,,,
733,189,588,3272.73,2,Medium,,,
827,630,380,3262.58,2,Medium,,,
509,469,557,3176.45,2,Medium,,,
897,631,766,3153.81,2,Medium,,,
766,3,586,3151.21,2,Medium,,,
108,669,113,3150.06,2,Medium,,,
181,537,982,3131.17,2,Medium,,,
288,4,450,3109.66,2,Medium,,,
982,182,667,3084.57,2,Medium,,,
797,2,50,3078.17,2,Medium,,,
312,267,255,3068.13,2,Medium,,,
997,906,532,3062.71,2,Medium,,,
22,256,360,3059.82,2,Medium,,,
650,415,988,3022.37,2,Medium,,,
191,169,1007,3017.12,2,Medium,,,
660,411,375,2965.41,2,Medium,,,
875,130,685,2965.15,2,Medium,,,
646,4,402,2899.69,2,Medium,,,
898,475,836,2886.41,2,Medium,,,
932,225,723,2861.53,2,Medium,,,
52,513,363,2767.09,2,Medium,,,
874,714,27,2764.94,2,Medium,,,
525,99,260,2723.7,2,Medium,,,
763,50,937,2723.36,2,Medium,,,
203,47,765,2714.18,2,Medium,,,
911,379,34,2697.21,2,Medium,,,
222,536,739,2692.99,2,Medium,,,
282,691,621,2657.98,2,Medium,,,
98,239,760,2630.61,2,Medium,,,
857,493,926,2612.29,2,Medium,,,
972,813,859,2592.12,2,Medium,,,
745,910,930,2575.72,2,Medium,,,
245,249,30,2555.26,2,Medium,,,
311,46,247,2503.9,2,Medium,,,
248,670,223,2428.46,2,Medium,,,
727,262,397,2398.96,2,Medium,,,
826,196,840,2377.28,2,Medium,,,
454,772,65,2349.21,2,Medium,,,
45,719,308,2346.95,2,Medium,,,
69,423,582,2330.49,2,Medium,,,
687,531,273,2330.47,2,Medium,,,
105,115,356,2313.52,2,Medium,,,
491,768,696,2312.17,2,Medium,,,
579,973,619,2296.82,2,Medium,,,
109,545,388,2273.83,2,Medium,,,
364,484,450,2261.85,2,Medium,,,
375,771,655,2252.73,2,Medium,,,
690,137,164,2230.82,2,Medium,,,
338,242,64,2209.98,2,Medium,,,
987,638,210,2198.71,2,Medium,,,
429,496,262,2188.08,2,Medium,,,
995,247,438,2185.82,2,Medium,,,
269,190,766,2147.56,2,Medium,,,
137,60,614,2136.09,2,Medium,,,
810,252,752,2115.49,2,Medium,,,
157,201,87,2103.3,2,Medium,,,
1,734,20,2059.49,2,Medium,,,
346,273,870,2024.4,2,Medium,,,
773,387,698,2009.84,2,Medium,,,
850,646,321,2005.85,2,Medium,,,
326,527,463,1976.69,2,Medium,,,
199,431,54,1932.25,2,Medium,,,
781,825,573,1914.77,2,Medium,,,
605,228,950,1910.4,2,Medium,,,
432,681,688,1896.96,2,Medium,,,
435,37,958,1887.27,2,Medium,,,
768,924,486,1861.01,2,Medium,,,
496,793,442,1836.22,2,Medium,,,
419,401,827,1815.27,2,Medium,,,
310,780,844,1773.87,2,Medium,,,
575,912,365,1732.45,2,Medium,,,
24,355,18,1707.44,2,Medium,,,
61,806,866,1686.19,2,Medium,,,
517,331,32,1625.93,2,Medium,,,
720,247,895,1603.76,2,Medium,,,
187,488,58,1585.55,2,Medium,,,
257,146,748,1571.33,2,Medium,,,
544,786,544,1561.0,2,Medium,,,
169,748,39,1556.59,2,Medium,,,
36,556,974,1536.46,2,Medium,,,
754,542,882,1534.08,2,Medium,,,
30,87,50,1529.63,2,Medium,,,
231,117,162,1472.6,2,Medium,,,
522,955,678,1472.49,2,Medium,,,
345,844,775,1439.14,2,Medium,,,
334,402,42,1423.22,2,Medium,,,
801,786,459,1412.78,2,Medium,,,
493,541,450,1330.59,2,Medium,,,
849,67,968,1313.72,2,Medium,,,
968,149,312,1300.78,2,Medium,,,
700,566,248,1295.05,2,Medium,,,
130,536,244,1289.07,2,Medium,,,
262,199,767,1280.33,2,Medium,,,
590,190,567,1250.17,2,Medium,,,
600,585,282,1247.33,2,Medium,,,
629,660,349,1246.47,2,Medium,,,
871,955,406,1191.51,2,Medium,,,
207,806,666,1190.01,2,Medium,,,
324,594,992,1170.48,2,Medium,,,
498,841,640,1120.76,2,Medium,,,
710,609,412,1115.69,2,Medium,,,
221,400,962,1070.63,2,Medium,,,
597,674,325,1017.29,2,Medium,,,
170,816,999,1015.55,2,Medium,,,
767,288,527,1006.21,2,Medium,,,
744,30,571,980.92,2,Medium,,,
922,860,71,977.82,2,Medium,,,
27,958,465,875.61,2,Medium,,,
80,857,578,862.82,2,Medium,,,
192,608,933,831.12,2,Medium,,,
889,505,852,826.94,2,Medium,,,
202,53,410,823.07,2,Medium,,,
610,381,930,732.28,2,Medium,,,
793,250,198,684.09,2,Medium,,,
201,429,294,682.06,2,Medium,,,
477,176,332,663.62,2,Medium,,,
125,952,605,663.35,2,Medium,,,
951,316,46,604.57,2,Medium,,,
366,178,408,602.48,2,Medium,,,
555,491,947,594.82,2,Medium,,,
195,831,138,592.82,2,Medium,,,
790,611,670,567.52,2,Medium,,,
980,130,783,564.79,2,Medium,,,
856,587,286,529.14,2,Medium,,,
107,939,622,520.42,2,Medium,,,
723,470,425,479.04,2,Medium,,,
732,605,688,440.31,2,Medium,,,
54,28,707,375.34,2,Medium,,,
876,136,548,360.92,2,Medium,,,
685,624,267,328.74,2,Medium,,,
912,151,843,302.19,2,Medium,,,
58,853,487,297.33,2,Medium,,,
998,640,422,280.01,2,Medium,,,
267,815,615,231.34,2,Medium,,,
512,583,630,211.71,2,Medium,,,
746,67,598,157.37,2,Medium,,,
354,667,415,154.93,2,Medium,,,
703,95,381,151.38,2,Medium,,,
557,514,108,136.69,2,Medium,,,
619,301,834,135.47,2,Medium,,,
952,831,862,89.41,2,Medium,,,
711,675,615,58.63,2,Medium,,,
210,156,218,14.37,2,Medium,,,
