bank_id,name,region,compliance_score,txn_frequency,avg_txn_amount,total_txn_amount,high_risk_txn_count,sanctioned_account_count,distinct_sanctioned_customers
33,Bank 33,East,0.61,2,5159.48,10318.97,1,1,1
34,Bank 34,North,0.64,2,2880.15,5760.3,1,0,0
35,Bank 35,West,0.81,0,,0.0,0,0,0
36,Bank 36,South,0.81,2,5044.74,10089.49,1,0,0
37,Bank 37,South,0.75,0,,0.0,0,0,0
38,Bank 38,West,0.6,0,,0.0,0,0,0
39,Bank 39,North,0.65,1,1556.59,1556.59,1,0,0
40,Bank 40,East,0.63,0,,0.0,0,1,1
41,Bank 41,West,0.55,0,,0.0,0,0,0
42,Bank 42,North,0.51,2,3165.25,6330.49,1,1,1
43,Bank 43,North,0.85,1,6418.22,6418.22,1,0,0
44,Bank 44,East,0.95,1,4915.54,4915.54,1,1,1
45,Bank 45,North,0.57,1,268.84,268.84,0,0,0
46,Bank 46,West,0.97,1,604.57,604.57,1,1,1
47,Bank 47,East,0.69,0,,0.0,0,4,4
48,Bank 48,East,0.7,3,6742.76,20228.27,1,1,1
49,Bank 49,South,0.89,2,8361.24,16722.47,2,1,1
50,Bank 50,East,0.84,3,3217.8,9653.39,3,0,0
51,Bank 51,West,0.76,1,4871.09,4871.09,1,3,3
52,Bank 52,North,0.79,3,5685.15,17055.46,2,3,3
53,Bank 53,North,0.83,1,281.57,281.57,1,0,0
54,Bank 54,West,0.81,2,3841.42,7682.84,2,1,1
55,Bank 55,East,0.55,0,,0.0,0,2,2
56,Bank 56,South,0.96,0,,0.0,0,2,2
57,Bank 57,West,0.55,0,,0.0,0,2,2
58,Bank 58,North,0.66,3,6855.96,20567.87,2,1,1
59,Bank 59,North,0.53,0,,0.0,0,0,0
60,Bank 60,South,0.95,2,5861.36,11722.73,0,1,1
61,Bank 61,East,0.52,1,6709.07,6709.07,0,1,1
62,Bank 62,West,0.8,0,,0.0,0,0,0
63,Bank 63,North,0.84,0,,0.0,0,1,1
64,Bank 64,West,0.87,1,2209.98,2209.98,1,1,1
65,Bank 65,North,0.88,3,2633.04,7899.13,2,1,1
66,Bank 66,East,0.62,1,7005.88,7005.88,1,0,0
67,Bank 67,East,0.82,0,,0.0,0,1,1
68,Bank 68,North,0.99,0,,0.0,0,0,0
69,Bank 69,East,0.7,0,,0.0,0,0,0
70,Bank 70,East,0.74,0,,0.0,0,1,1
71,Bank 71,South,0.78,3,5391.4,16174.2,1,1,1
72,Bank 72,South,0.55,2,4417.55,8835.09,2,0,0
73,Bank 73,South,0.62,1,4145.44,4145.44,1,2,2
74,Bank 74,West,0.55,1,5899.61,5899.61,1,0,0
75,Bank 75,East,0.55,0,,0.0,0,0,0
76,Bank 76,South,1.0,0,,0.0,0,2,2
77,Bank 77,West,0.86,1,4104.49,4104.49,1,0,0
78,Bank 78,West,0.75,1,6139.61,6139.61,0,0,0
79,Bank 79,North,0.56,1,9730.33,9730.33,0,2,2
80,Bank 80,West,0.87,1,5550.32,5550.32,0,0,0
81,Bank 81,South,0.86,1,5835.83,5835.83,0,1,1
82,Bank 82,North,0.63,2,4654.59,9309.17,1,0,0
83,Bank 83,South,0.95,0,,0.0,0,2,2
84,Bank 84,West,0.7,0,,0.0,0,2,2
85,Bank 85,North,0.86,0,,0.0,0,1,1
86,Bank 86,North,0.74,0,,0.0,0,0,0
87,Bank 87,West,0.72,2,4517.49,9034.97,1,0,0
88,Bank 88,West,0.52,2,8338.35,16676.7,1,3,3
89,Bank 89,East,0.75,0,,0.0,0,2,2
90,Bank 90,South,0.66,2,4935.86,9871.73,0,1,1
91,Bank 91,East,0.67,0,,0.0,0,1,1
92,Bank 92,North,0.75,2,4772.66,9545.32,0,1,1
93,Bank 93,North,0.79,2,9175.08,18350.17,0,2,2
94,Bank 94,West,0.52,0,,0.0,0,1,1
95,Bank 95,East,0.62,1,5402.65,5402.65,0,2,2
96,Bank 96,East,0.99,0,,0.0,0,0,0
97,Bank 97,South,0.59,1,3729.47,3729.47,1,2,2
98,Bank 98,West,0.51,2,3515.37,7030.74,1,1,1
99,Bank 99,West,0.86,0,,0.0,0,0,0
100,Bank 100,West,0.55,0,,0.0,0,3,3
101,Bank 101,West,1.0,2,6267.67,12535.34,1,0,0
102,Bank 102,East,0.77,0,,0.0,0,1,1
103,Bank 103,North,0.97,3,6436.58,19309.75,2,2,2
104,Bank 104,North,0.52,0,,0.0,0,1,1
105,Bank 105,South,0.9,0,,0.0,0,0,0
106,Bank 106,North,0.95,0,,0.0,0,2,2
107,Bank 107,North,0.6,1,9172.74,9172.74,0,0,0
108,Bank 108,South,0.5,2,673.98,1347.96,1,1,1
109,Bank 109,West,0.98,0,,0.0,0,3,3
110,Bank 110,North,0.65,2,3406.1,6812.19,0,1,1
111,Bank 111,West,0.68,1,8721.51,8721.51,1,0,0
112,Bank 112,South,0.91,2,2183.83,4367.66,2,0,0
113,Bank 113,North,0.73,2,5141.7,10283.41,1,1,1
114,Bank 114,South,0.64,1,5406.76,5406.76,0,0,0
115,Bank 115,East,0.58,0,,0.0,0,0,0
116,Bank 116,East,0.79,0,,0.0,0,1,1
117,Bank 117,East,0.81,0,,0.0,0,2,2
118,Bank 118,South,0.58,0,,0.0,0,0,0
119,Bank 119,East,0.8,1,1499.77,1499.77,0,1,1
120,Bank 120,North,0.5,1,2798.56,2798.56,0,0,0
121,Bank 121,West,0.9,2,5444.06,10888.11,2,0,0
122,Bank 122,West,0.55,2,7898.41,15796.81,1,1,1
123,Bank 123,South,0.8,2,6415.07,12830.14,2,1,1
124,Bank 124,North,0.68,0,,0.0,0,1,1
125,Bank 125,West,0.65,2,5214.07,10428.14,0,1,1
126,Bank 126,North,0.86,0,,0.0,0,0,0
127,Bank 127,East,0.84,0,,0.0,0,0,0
128,Bank 128,East,0.75,3,6057.99,18173.96,1,2,2
129,Bank 129,South,0.85,1,7936.13,7936.13,0,0,0
130,Bank 130,North,0.6,1,6234.57,6234.57,1,0,0
131,Bank 131,South,0.93,0,,0.0,0,0,0
132,Bank 132,East,0.85,2,9650.7,19301.4,1,1,1
133,Bank 133,South,0.85,1,6395.74,6395.74,1,3,3
134,Bank 134,North,0.59,1,1884.82,1884.82,1,1,1
135,Bank 135,North,0.81,0,,0.0,0,1,1
136,Bank 136,West,0.67,1,9583.48,9583.48,1,2,2
137,Bank 137,East,0.81,2,9244.27,18488.54,1,1,1
138,Bank 138,West,0.6,2,1628.49,3256.97,1,2,2
139,Bank 139,South,0.61,0,,0.0,0,1,1
140,Bank 140,North,0.69,0,,0.0,0,1,1
141,Bank 141,West,0.88,1,3517.29,3517.29,0,2,2
142,Bank 142,West,0.69,0,,0.0,0,0,0
143,Bank 143,South,0.71,1,4336.54,4336.54,1,2,2
144,Bank 144,South,0.66,2,4968.94,9937.88,1,0,0
145,Bank 145,South,0.71,0,,0.0,0,5,5
146,Bank 146,West,0.6,2,5328.1,10656.19,1,1,1
147,Bank 147,West,0.59,5,6028.16,30140.78,2,2,2
148,Bank 148,South,0.88,2,6807.28,13614.57,2,1,1
149,Bank 149,East,0.91,0,,0.0,0,2,2
150,Bank 150,West,0.53,0,,0.0,0,0,0
151,Bank 151,North,0.64,0,,0.0,0,2,2
152,Bank 152,South,0.64,1,1432.47,1432.47,0,1,1
153,Bank 153,West,0.65,1,6382.82,6382.82,1,0,0
154,Bank 154,South,0.79,1,4558.89,4558.89,1,1,1
155,Bank 155,North,0.76,0,,0.0,0,2,2
156,Bank 156,West,0.57,0,,0.0,0,1,1
157,Bank 157,North,0.62,2,5768.07,11536.13,1,1,1
158,Bank 158,North,0.69,1,7233.76,7233.76,0,3,3
159,Bank 159,West,0.86,0,,0.0,0,0,0
160,Bank 160,South,0.95,2,1810.24,3620.49,0,0,0
161,Bank 161,East,0.58,0,,0.0,0,0,0
162,Bank 162,West,0.91,1,1472.6,1472.6,1,1,1
163,Bank 163,East,0.52,0,,0.0,0,2,2
164,Bank 164,North,0.64,3,4394.43,13183.29,3,0,0
165,Bank 165,South,0.75,0,,0.0,0,2,2
166,Bank 166,South,0.54,1,8244.88,8244.88,1,0,0
167,Bank 167,West,0.87,3,5564.79,16694.36,1,1,1
168,Bank 168,South,0.53,1,8594.71,8594.71,1,2,2
169,Bank 169,North,0.86,0,,0.0,0,1,1
170,Bank 170,West,0.94,0,,0.0,0,3,3
171,Bank 171,East,0.75,2,4129.56,8259.12,1,1,1
172,Bank 172,West,0.99,0,,0.0,0,1,1
173,Bank 173,East,0.78,1,9432.86,9432.86,0,0,0
174,Bank 174,East,0.78,0,,0.0,0,1,1
175,Bank 175,North,0.6,0,,0.0,0,1,1
176,Bank 176,West,0.54,1,6913.32,6913.32,0,1,1
177,Bank 177,West,0.72,2,4850.39,9700.77,1,0,0
178,Bank 178,North,0.73,0,,0.0,0,0,0
179,Bank 179,East,0.65,1,1789.34,1789.34,0,0,0
180,Bank 180,West,0.72,1,9261.44,9261.44,0,0,0
181,Bank 181,West,0.69,1,6176.08,6176.08,1,2,2
182,Bank 182,North,0.55,1,9954.31,9954.31,0,0,0
183,Bank 183,East,0.86,1,2827.94,2827.94,0,0,0
184,Bank 184,East,1.0,1,5358.12,5358.12,1,0,0
185,Bank 185,South,0.76,2,5441.22,10882.43,0,1,1
186,Bank 186,North,0.7,0,,0.0,0,0,0
187,Bank 187,East,0.77,0,,0.0,0,3,3
188,Bank 188,East,0.5,0,,0.0,0,2,2
189,Bank 189,West,0.86,1,6413.72,6413.72,1,2,2
190,Bank 190,North,0.9,0,,0.0,0,2,2
191,Bank 191,East,0.89,1,5939.31,5939.31,1,2,2
192,Bank 192,North,0.94,0,,0.0,0,1,1
193,Bank 193,East,0.93,1,117.42,117.42,0,0,0
194,Bank 194,South,0.85,0,,0.0,0,2,2
195,Bank 195,North,0.81,1,9673.62,9673.62,0,1,1
196,Bank 196,North,0.58,1,1822.57,1822.57,1,0,0
197,Bank 197,West,0.57,0,,0.0,0,0,0
198,Bank 198,South,0.86,2,3734.09,7468.18,1,1,1
199,Bank 199,North,0.63,3,5312.97,15938.91,1,1,1
200,Bank 200,West,0.86,0,,0.0,0,0,0
201,Bank 201,South,0.95,1,3331.77,3331.77,1,1,1
202,Bank 202,West,0.83,2,7111.41,14222.83,1,0,0
203,Bank 203,West,0.66,0,,0.0,0,1,1
204,Bank 204,South,1.0,0,,0.0,0,1,1
205,Bank 205,West,0.53,0,,0.0,0,0,0
206,Bank 206,East,0.84,1,5504.76,5504.76,0,1,1
207,Bank 207,South,0.89,1,9045.09,9045.09,1,0,0
208,Bank 208,West,0.8,0,,0.0,0,0,0
209,Bank 209,West,0.73,0,,0.0,0,4,4
210,Bank 210,North,0.56,1,2198.71,2198.71,0,3,3
211,Bank 211,South,0.72,1,3973.95,3973.95,0,0,0
212,Bank 212,West,0.92,2,5097.2,10194.4,2,2,2
213,Bank 213,West,0.52,0,,0.0,0,0,0
214,Bank 214,East,0.86,1,9663.3,9663.3,1,2,2
215,Bank 215,North,0.94,3,4543.27,13629.81,2,0,0
216,Bank 216,North,0.58,0,,0.0,0,2,2
217,Bank 217,South,0.56,0,,0.0,0,0,0
218,Bank 218,East,0.81,2,3402.06,6804.12,2,0,0
219,Bank 219,South,0.79,0,,0.0,0,1,1
220,Bank 220,East,0.76,1,3145.99,3145.99,0,1,1
221,Bank 221,East,0.59,0,,0.0,0,1,1
222,Bank 222,South,0.64,0,,0.0,0,2,2
223,Bank 223,East,0.51,1,2428.46,2428.46,0,2,2
224,Bank 224,South,0.91,0,,0.0,0,0,0
225,Bank 225,West,0.73,2,3428.74,6857.47,1,4,4
226,Bank 226,West,0.79,0,,0.0,0,0,0
227,Bank 227,East,0.7,1,3432.85,3432.85,1,2,2
228,Bank 228,North,0.64,0,,0.0,0,2,2
229,Bank 229,South,0.66,0,,0.0,0,0,0
230,Bank 230,North,0.56,2,9017.95,18035.91,1,1,1
231,Bank 231,South,0.96,1,6704.43,6704.43,0,0,0
232,Bank 232,East,0.53,2,4727.74,9455.48,1,0,0
233,Bank 233,North,0.78,2,8657.09,17314.18,1,2,2
234,Bank 234,North,0.75,1,4228.66,4228.66,1,0,0
235,Bank 235,East,0.79,4,7452.23,29808.91,3,0,0
236,Bank 236,South,0.52,0,,0.0,0,0,0
237,Bank 237,North,0.88,2,9449.61,18899.23,1,0,0
238,Bank 238,South,0.5,1,2708.88,2708.88,1,1,1
239,Bank 239,North,0.79,0,,0.0,0,1,1
240,Bank 240,East,0.73,2,7952.64,15905.28,2,0,0
241,Bank 241,North,0.95,0,,0.0,0,0,0
242,Bank 242,West,0.89,0,,0.0,0,4,4
243,Bank 243,West,0.55,2,7586.95,15173.91,0,2,2
244,Bank 244,West,0.73,3,4932.68,14798.04,2,0,0
245,Bank 245,East,0.56,0,,0.0,0,3,3
246,Bank 246,South,0.72,1,678.11,678.11,0,1,1
247,Bank 247,East,0.95,1,2503.9,2503.9,1,0,0
248,Bank 248,North,0.97,1,1295.05,1295.05,1,1,1
249,Bank 249,South,0.58,0,,0.0,0,1,1
250,Bank 250,West,0.83,2,4301.98,8603.96,2,0,0
251,Bank 251,West,0.72,1,3601.2,3601.2,0,2,2
252,Bank 252,South,0.9,0,,0.0,0,0,0
253,Bank 253,South,0.73,0,,0.0,0,4,4
254,Bank 254,South,0.75,3,8519.95,25559.86,1,2,2
255,Bank 255,East,0.99,4,5640.52,22562.08,1,0,0
256,Bank 256,East,0.75,2,2849.57,5699.14,0,0,0
257,Bank 257,North,0.5,1,6809.58,6809.58,0,1,1
258,Bank 258,West,0.57,0,,0.0,0,3,3
259,Bank 259,East,0.78,0,,0.0,0,1,1
260,Bank 260,East,0.8,2,4831.4,9662.79,1,3,3
261,Bank 261,North,0.99,1,8205.8,8205.8,0,1,1
262,Bank 262,East,0.69,2,3870.59,7741.18,2,1,1
263,Bank 263,West,0.91,1,3953.74,3953.74,1,0,0
264,Bank 264,West,0.86,1,8287.55,8287.55,1,2,2
265,Bank 265,South,0.53,2,4441.9,8883.79,0,0,0
266,Bank 266,South,0.62,0,,0.0,0,1,1
267,Bank 267,South,0.8,2,2471.12,4942.24,1,0,0
268,Bank 268,South,0.65,1,6794.4,6794.4,0,2,2
269,Bank 269,North,0.9,1,91.22,91.22,0,0,0
270,Bank 270,North,0.64,2,6418.24,12836.49,0,0,0
271,Bank 271,North,0.69,0,,0.0,0,1,1
272,Bank 272,West,0.67,0,,0.0,0,1,1
273,Bank 273,West,0.79,1,2330.47,2330.47,1,1,1
274,Bank 274,West,0.97,0,,0.0,0,0,0
275,Bank 275,South,0.74,0,,0.0,0,3,3
276,Bank 276,North,0.93,0,,0.0,0,0,0
277,Bank 277,North,0.93,0,,0.0,0,0,0
278,Bank 278,North,0.57,3,6145.59,18436.77,2,1,1
279,Bank 279,West,0.93,2,4962.26,9924.52,1,0,0
280,Bank 280,South,0.97,0,,0.0,0,0,0
281,Bank 281,North,0.61,0,,0.0,0,0,0
282,Bank 282,East,0.82,2,3372.72,6745.43,2,0,0
283,Bank 283,East,0.71,0,,0.0,0,2,2
284,Bank 284,East,0.83,0,,0.0,0,1,1
285,Bank 285,West,0.54,1,5667.24,5667.24,0,0,0
286,Bank 286,North,0.76,3,3838.79,11516.37,2,2,2
287,Bank 287,North,0.7,0,,0.0,0,1,1
288,Bank 288,North,0.55,1,5050.63,5050.63,1,3,3
289,Bank 289,South,0.79,0,,0.0,0,3,3
290,Bank 290,East,0.87,1,4776.3,4776.3,1,3,3
291,Bank 291,North,0.89,0,,0.0,0,1,1
292,Bank 292,South,0.69,0,,0.0,0,1,1
293,Bank 293,West,0.67,0,,0.0,0,2,2
294,Bank 294,South,0.54,1,682.06,682.06,0,0,0
295,Bank 295,East,0.69,0,,0.0,0,0,0
296,Bank 296,East,0.84,0,,0.0,0,1,1
297,Bank 297,South,0.72,1,5067.72,5067.72,0,3,3
298,Bank 298,West,0.7,0,,0.0,0,3,3
299,Bank 299,South,0.97,1,700.83,700.83,0,1,1
300,Bank 300,West,0.69,0,,0.0,0,1,1
301,Bank 301,South,0.93,3,1510.62,4531.87,1,0,0
302,Bank 302,East,0.95,0,,0.0,0,0,0
303,Bank 303,South,0.63,0,,0.0,0,2,2
304,Bank 304,North,0.86,1,7536.55,7536.55,1,0,0
305,Bank 305,East,0.98,0,,0.0,0,0,0
306,Bank 306,South,0.64,1,2639.87,2639.87,1,0,0
307,Bank 307,North,0.81,0,,0.0,0,0,0
308,Bank 308,West,0.99,4,5487.42,21949.67,2,1,1
309,Bank 309,West,0.51,1,2862.95,2862.95,1,0,0
310,Bank 310,South,0.76,0,,0.0,0,0,0
311,Bank 311,North,0.92,3,4358.66,13075.98,2,0,0
312,Bank 312,West,0.8,1,1300.78,1300.78,1,1,1
313,Bank 313,South,0.75,5,4529.41,22647.06,4,3,3
314,Bank 314,East,1.0,2,8781.54,17563.08,1,1,1
315,Bank 315,East,0.99,0,,0.0,0,0,0
316,Bank 316,South,0.57,1,6210.56,6210.56,0,1,1
317,Bank 317,South,0.82,1,2512.69,2512.69,1,0,0
318,Bank 318,South,0.93,3,3755.33,11265.98,1,0,0
319,Bank 319,West,0.55,0,,0.0,0,4,4
320,Bank 320,North,0.9,1,9434.14,9434.14,1,2,2
321,Bank 321,West,0.73,1,2005.85,2005.85,1,3,3
322,Bank 322,West,0.91,2,2317.24,4634.49,0,1,1
323,Bank 323,North,0.72,1,6753.55,6753.55,1,1,1
324,Bank 324,West,0.71,1,9397.79,9397.79,0,1,1
325,Bank 325,East,0.86,2,3707.16,7414.31,1,0,0
326,Bank 326,North,0.51,0,,0.0,0,2,2
327,Bank 327,West,0.77,2,5431.07,10862.14,0,0,0
328,Bank 328,West,0.74,1,7183.23,7183.23,0,1,1
329,Bank 329,West,0.64,0,,0.0,0,1,1
330,Bank 330,North,0.54,5,5294.15,26470.76,3,0,0
331,Bank 331,South,0.79,0,,0.0,0,3,2
332,Bank 332,East,0.73,1,663.62,663.62,1,1,1
333,Bank 333,South,0.99,0,,0.0,0,3,3
334,Bank 334,East,0.59,0,,0.0,0,0,0
335,Bank 335,West,0.97,0,,0.0,0,1,1
336,Bank 336,South,0.93,2,3302.9,6605.81,1,2,2
337,Bank 337,West,0.6,0,,0.0,0,0,0
338,Bank 338,West,0.93,0,,0.0,0,2,2
339,Bank 339,North,0.65,0,,0.0,0,0,0
340,Bank 340,West,0.78,0,,0.0,0,1,1
341,Bank 341,West,0.63,2,2633.44,5266.87,0,2,2
342,Bank 342,North,0.55,2,4031.2,8062.4,1,1,1
343,Bank 343,North,0.79,1,6969.96,6969.96,1,0,0
344,Bank 344,West,0.83,0,,0.0,0,1,1
345,Bank 345,East,0.59,0,,0.0,0,5,5
346,Bank 346,West,0.68,0,,0.0,0,1,1
347,Bank 347,East,0.96,0,,0.0,0,2,2
348,Bank 348,West,0.99,0,,0.0,0,2,2
349,Bank 349,North,0.79,1,1246.47,1246.47,1,0,0
350,Bank 350,West,0.72,0,,0.0,0,0,0
351,Bank 351,North,0.5,1,1633.7,1633.7,1,1,1
352,Bank 352,North,0.54,0,,0.0,0,0,0
353,Bank 353,South,0.84,0,,0.0,0,0,0
354,Bank 354,East,0.85,1,2330.52,2330.52,0,1,1
355,Bank 355,East,0.99,2,5558.44,11116.87,0,0,0
356,Bank 356,North,0.9,2,2481.29,4962.58,1,1,1
357,Bank 357,West,0.51,0,,0.0,0,1,1
358,Bank 358,South,0.89,0,,0.0,0,1,1
359,Bank 359,North,0.55,1,5797.25,5797.25,0,0,0
360,Bank 360,North,0.81,1,3059.82,3059.82,1,3,3
361,Bank 361,East,0.83,0,,0.0,0,1,1
362,Bank 362,West,0.51,0,,0.0,0,0,0
363,Bank 363,East,0.63,1,2767.09,2767.09,1,1,1
364,Bank 364,West,0.62,1,3637.94,3637.94,0,2,2
365,Bank 365,West,0.76,2,4872.31,9744.61,1,2,2
366,Bank 366,South,0.98,0,,0.0,0,1,1
367,Bank 367,West,0.92,0,,0.0,0,0,0
368,Bank 368,West,0.98,2,5242.3,10484.59,0,0,0
369,Bank 369,East,0.71,1,7388.8,7388.8,1,2,2
370,Bank 370,North,0.77,0,,0.0,0,0,0
371,Bank 371,North,0.96,0,,0.0,0,1,1
372,Bank 372,North,0.71,0,,0.0,0,0,0
373,Bank 373,East,0.82,1,5398.38,5398.38,0,1,1
374,Bank 374,South,0.88,0,,0.0,0,1,1
375,Bank 375,South,0.77,2,5437.66,10875.32,1,1,1
376,Bank 376,North,0.97,1,7676.75,7676.75,0,2,2
377,Bank 377,West,0.59,0,,0.0,0,1,1
378,Bank 378,West,0.78,1,1877.07,1877.07,1,0,0
379,Bank 379,South,0.84,1,8706.3,8706.3,1,1,1
380,Bank 380,South,0.52,1,3262.58,3262.58,0,1,1
381,Bank 381,North,0.66,3,2675.51,8026.52,2,1,1
382,Bank 382,South,0.74,0,,0.0,0,0,0
383,Bank 383,West,0.77,2,7769.97,15539.94,0,2,2
384,Bank 384,North,0.99,0,,0.0,0,1,1
385,Bank 385,North,0.86,1,9118.16,9118.16,1,1,1
386,Bank 386,West,0.56,1,6886.38,6886.38,0,4,4
387,Bank 387,East,0.78,0,,0.0,0,0,0
388,Bank 388,East,0.95,1,2273.83,2273.83,1,2,2
389,Bank 389,West,0.79,0,,0.0,0,2,2
390,Bank 390,South,0.77,1,1638.54,1638.54,0,0,0
391,Bank 391,North,0.53,0,,0.0,0,1,1
392,Bank 392,South,0.92,2,5665.15,11330.29,0,1,1
393,Bank 393,West,0.82,2,4257.11,8514.23,1,3,3
394,Bank 394,East,0.64,1,6382.45,6382.45,1,0,0
395,Bank 395,South,0.55,2,5172.23,10344.46,1,0,0
396,Bank 396,West,0.59,1,4102.58,4102.58,0,2,2
397,Bank 397,West,0.91,2,4260.45,8520.91,1,3,3
398,Bank 398,East,0.87,1,8851.2,8851.2,0,1,1
399,Bank 399,West,0.58,3,5250.06,15750.19,1,0,0
400,Bank 400,North,0.77,0,,0.0,0,1,1
401,Bank 401,West,0.78,2,4826.99,9653.97,0,0,0
402,Bank 402,North,0.95,1,2899.69,2899.69,0,2,2
403,Bank 403,South,0.95,1,2712.13,2712.13,1,0,0
404,Bank 404,West,0.5,0,,0.0,0,1,1
405,Bank 405,East,0.82,1,7190.82,7190.82,1,0,0
406,Bank 406,West,0.97,1,1191.51,1191.51,0,1,1
407,Bank 407,North,0.97,0,,0.0,0,2,2
408,Bank 408,South,0.73,3,5354.89,16064.68,3,0,0
409,Bank 409,West,0.79,1,467.73,467.73,0,1,1
410,Bank 410,North,0.95,1,823.07,823.07,1,1,1
411,Bank 411,East,0.56,0,,0.0,0,1,1
412,Bank 412,East,0.51,2,716.84,1433.67,0,0,0
413,Bank 413,West,0.87,1,5950.8,5950.8,0,0,0
414,Bank 414,South,0.69,1,8046.96,8046.96,1,0,0
415,Bank 415,East,0.96,2,1752.11,3504.22,2,3,3
416,Bank 416,North,0.73,2,611.34,1222.67,0,1,1
417,Bank 417,South,0.69,0,,0.0,0,1,1
418,Bank 418,East,0.92,0,,0.0,0,1,1
419,Bank 419,South,0.99,0,,0.0,0,1,1
420,Bank 420,South,0.77,0,,0.0,0,2,2
421,Bank 421,South,0.58,0,,0.0,0,1,1
422,Bank 422,East,0.61,2,2148.08,4296.16,2,1,1
423,Bank 423,South,0.79,1,5006.46,5006.46,0,0,0
424,Bank 424,East,0.51,0,,0.0,0,1,1
425,Bank 425,North,0.87,2,4949.66,9899.31,2,0,0
426,Bank 426,West,0.88,0,,0.0,0,0,0
427,Bank 427,South,0.98,0,,0.0,0,0,0
428,Bank 428,West,0.73,0,,0.0,0,0,0
429,Bank 429,South,0.75,0,,0.0,0,1,1
430,Bank 430,East,0.88,0,,0.0,0,1,1
431,Bank 431,North,0.68,1,3514.6,3514.6,0,1,1
432,Bank 432,West,0.59,0,,0.0,0,1,1
433,Bank 433,East,0.84,4,6597.11,26388.45,3,1,1
434,Bank 434,North,0.65,2,8687.36,17374.72,2,0,0
435,Bank 435,North,0.9,0,,0.0,0,0,0
436,Bank 436,South,0.62,0,,0.0,0,1,1
437,Bank 437,South,0.82,1,5069.65,5069.65,1,0,0
438,Bank 438,West,0.86,2,3593.29,7186.58,2,0,0
439,Bank 439,West,0.59,1,9104.47,9104.47,0,0,0
440,Bank 440,North,0.88,2,4430.17,8860.35,2,2,2
441,Bank 441,South,0.57,3,8422.9,25268.7,1,0,0
442,Bank 442,North,0.66,3,4351.88,13055.65,3,2,2
443,Bank 443,North,0.89,0,,0.0,0,1,1
444,Bank 444,North,0.89,1,6674.15,6674.15,0,0,0
445,Bank 445,West,0.86,0,,0.0,0,0,0
446,Bank 446,East,0.56,0,,0.0,0,1,1
447,Bank 447,South,0.77,0,,0.0,0,1,1
448,Bank 448,East,0.79,0,,0.0,0,0,0
449,Bank 449,West,0.55,2,5132.61,10265.21,0,0,0
450,Bank 450,South,0.62,4,1783.81,7135.23,2,1,1
451,Bank 451,South,0.73,0,,0.0,0,1,1
452,Bank 452,East,0.6,1,4123.7,4123.7,1,0,0
453,Bank 453,East,0.59,2,4791.89,9583.79,1,0,0
454,Bank 454,North,0.52,0,,0.0,0,2,2
455,Bank 455,South,0.86,2,5400.93,10801.87,2,1,1
456,Bank 456,North,0.55,0,,0.0,0,2,2
457,Bank 457,West,0.98,1,9337.53,9337.53,1,0,0
458,Bank 458,East,0.8,1,3150.25,3150.25,0,2,2
459,Bank 459,North,1.0,1,1412.78,1412.78,0,1,1
460,Bank 460,North,0.5,0,,0.0,0,1,1
461,Bank 461,North,0.78,0,,0.0,0,2,2
462,Bank 462,North,0.98,0,,0.0,0,1,1
463,Bank 463,West,0.93,1,1976.69,1976.69,1,1,1
