bank_id,name,region,compliance_score,sanctioned_account_count,ml_sanction_count,fraud_sanction_count,compliance_violation_count,compliance_status
94,Bank 94,West,0.52,1,0,0,1,Below Threshold
95,Bank 95,East,0.62,2,0,2,0,Watch
96,Bank 96,East,0.99,0,0,0,0,Adequate
97,Bank 97,South,0.59,2,2,0,0,Below Threshold
98,Bank 98,West,0.51,1,0,0,1,Below Threshold
99,Bank 99,West,0.86,0,0,0,0,Adequate
100,Bank 100,West,0.55,3,2,0,1,Below Threshold
101,Bank 101,West,1.0,0,0,0,0,Adequate
102,Bank 102,East,0.77,1,0,1,0,Adequate
103,Bank 103,North,0.97,2,0,0,2,Adequate
104,Bank 104,North,0.52,1,1,0,0,Below Threshold
105,Bank 105,South,0.9,0,0,0,0,Adequate
106,Bank 106,North,0.95,2,1,0,1,Adequate
107,Bank 107,North,0.6,0,0,0,0,Watch
108,Bank 108,South,0.5,1,0,1,0,Below Threshold
109,Bank 109,West,0.98,3,2,1,0,Adequate
110,Bank 110,North,0.65,1,0,1,0,Watch
111,Bank 111,West,0.68,0,0,0,0,Watch
112,Bank 112,South,0.91,0,0,0,0,Adequate
113,Bank 113,North,0.73,1,0,1,0,Watch
114,Bank 114,South,0.64,0,0,0,0,Watch
115,Bank 115,East,0.58,0,0,0,0,Below Threshold
116,Bank 116,East,0.79,1,1,0,0,Adequate
117,Bank 117,East,0.81,2,0,1,1,Adequate
118,Bank 118,South,0.58,0,0,0,0,Below Threshold
119,Bank 119,East,0.8,1,0,1,0,Adequate
120,Bank 120,North,0.5,0,0,0,0,Below Threshold
121,Bank 121,West,0.9,0,0,0,0,Adequate
122,Bank 122,West,0.55,1,1,0,0,Below Threshold
123,Bank 123,South,0.8,1,1,0,0,Adequate
124,Bank 124,North,0.68,1,1,0,0,Watch
125,Bank 125,West,0.65,1,1,0,0,Watch
126,Bank 126,North,0.86,0,0,0,0,Adequate
127,Bank 127,East,0.84,0,0,0,0,Adequate
128,Bank 128,East,0.75,2,1,1,0,Adequate
129,Bank 129,South,0.85,0,0,0,0,Adequate
130,Bank 130,North,0.6,0,0,0,0,Watch
131,Bank 131,South,0.93,0,0,0,0,Adequate
132,Bank 132,East,0.85,1,1,0,0,Adequate
133,Bank 133,South,0.85,3,1,1,1,Adequate
134,Bank 134,North,0.59,1,1,0,0,Below Threshold
135,Bank 135,North,0.81,1,0,1,0,Adequate
136,Bank 136,West,0.67,2,1,1,0,Watch
137,Bank 137,East,0.81,1,0,1,0,Adequate
138,Bank 138,West,0.6,2,2,0,0,Watch
139,Bank 139,South,0.61,1,1,0,0,Watch
140,Bank 140,North,0.69,1,0,1,0,Watch
141,Bank 141,West,0.88,2,0,0,2,Adequate
142,Bank 142,West,0.69,0,0,0,0,Watch
143,Bank 143,South,0.71,2,0,2,0,Watch
144,Bank 144,South,0.66,0,0,0,0,Watch
145,Bank 145,South,0.71,5,3,0,2,Watch
146,Bank 146,West,0.6,1,1,0,0,Watch
147,Bank 147,West,0.59,2,1,0,1,Below Threshold
148,Bank 148,South,0.88,1,1,0,0,Adequate
149,Bank 149,East,0.91,2,1,0,1,Adequate
150,Bank 150,West,0.53,0,0,0,0,Below Threshold
151,Bank 151,North,0.64,2,1,1,0,Watch
152,Bank 152,South,0.64,1,0,0,1,Watch
153,Bank 153,West,0.65,0,0,0,0,Watch
154,Bank 154,South,0.79,1,1,0,0,Adequate
155,Bank 155,North,0.76,2,2,0,0,Adequate
156,Bank 156,West,0.57,1,0,1,0,Below Threshold
157,Bank 157,North,0.62,1,0,1,0,Watch
158,Bank 158,North,0.69,3,2,1,0,Watch
159,Bank 159,West,0.86,0,0,0,0,Adequate
160,Bank 160,South,0.95,0,0,0,0,Adequate
161,Bank 161,East,0.58,0,0,0,0,Below Threshold
162,Bank 162,West,0.91,1,0,1,0,Adequate
163,Bank 163,East,0.52,2,0,1,1,Below Threshold
164,Bank 164,North,0.64,0,0,0,0,Watch
165,Bank 165,South,0.75,2,1,0,1,Adequate
166,Bank 166,South,0.54,0,0,0,0,Below Threshold
167,Bank 167,West,0.87,1,0,1,0,Adequate
168,Bank 168,South,0.53,2,1,0,1,Below Threshold
169,Bank 169,North,0.86,1,1,0,0,Adequate
170,Bank 170,West,0.94,3,1,0,2,Adequate
171,Bank 171,East,0.75,1,0,1,0,Adequate
172,Bank 172,West,0.99,1,1,0,0,Adequate
173,Bank 173,East,0.78,0,0,0,0,Adequate
174,Bank 174,East,0.78,1,0,1,0,Adequate
175,Bank 175,North,0.6,1,0,0,1,Watch
176,Bank 176,West,0.54,1,1,0,0,Below Threshold
177,Bank 177,West,0.72,0,0,0,0,Watch
178,Bank 178,North,0.73,0,0,0,0,Watch
179,Bank 179,East,0.65,0,0,0,0,Watch
180,Bank 180,West,0.72,0,0,0,0,Watch
181,Bank 181,West,0.69,2,0,0,2,Watch
182,Bank 182,North,0.55,0,0,0,0,Below Threshold
183,Bank 183,East,0.86,0,0,0,0,Adequate
184,Bank 184,East,1.0,0,0,0,0,Adequate
185,Bank 185,South,0.76,1,0,1,0,Adequate
186,Bank 186,North,0.7,0,0,0,0,Watch
187,Bank 187,East,0.77,3,1,1,1,Adequate
188,Bank 188,East,0.5,2,0,2,0,Below Threshold
189,Bank 189,West,0.86,2,1,0,1,Adequate
190,Bank 190,North,0.9,2,1,0,1,Adequate
191,Bank 191,East,0.89,2,0,1,1,Adequate
192,Bank 192,North,0.94,1,0,1,0,Adequate
193,Bank 193,East,0.93,0,0,0,0,Adequate
194,Bank 194,South,0.85,2,0,1,1,Adequate
195,Bank 195,North,0.81,1,1,0,0,Adequate
196,Bank 196,North,0.58,0,0,0,0,Below Threshold
197,Bank 197,West,0.57,0,0,0,0,Below Threshold
198,Bank 198,South,0.86,1,0,0,1,Adequate
199,Bank 199,North,0.63,1,1,0,0,Watch
200,Bank 200,West,0.86,0,0,0,0,Adequate
201,Bank 201,South,0.95,1,0,1,0,Adequate
202,Bank 202,West,0.83,0,0,0,0,Adequate
203,Bank 203,West,0.66,1,1,0,0,Watch
204,Bank 204,South,1.0,1,0,1,0,Adequate
205,Bank 205,West,0.53,0,0,0,0,Below Threshold
206,Bank 206,East,0.84,1,0,1,0,Adequate
207,Bank 207,South,0.89,0,0,0,0,Adequate
208,Bank 208,West,0.8,0,0,0,0,Adequate
209,Bank 209,West,0.73,4,2,2,0,Watch
210,Bank 210,North,0.56,3,2,0,1,Below Threshold
211,Bank 211,South,0.72,0,0,0,0,Watch
212,Bank 212,West,0.92,2,0,1,1,Adequate
213,Bank 213,West,0.52,0,0,0,0,Below Threshold
214,Bank 214,East,0.86,2,0,1,1,Adequate
215,Bank 215,North,0.94,0,0,0,0,Adequate
216,Bank 216,North,0.58,2,2,0,0,Below Threshold
217,Bank 217,South,0.56,0,0,0,0,Below Threshold
218,Bank 218,East,0.81,0,0,0,0,Adequate
219,Bank 219,South,0.79,1,1,0,0,Adequate
220,Bank 220,East,0.76,1,0,1,0,Adequate
221,Bank 221,East,0.59,1,1,0,0,Below Threshold
222,Bank 222,South,0.64,2,0,1,1,Watch
223,Bank 223,East,0.51,2,0,2,0,Below Threshold
224,Bank 224,South,0.91,0,0,0,0,Adequate
225,Bank 225,West,0.73,4,3,1,0,Watch
226,Bank 226,West,0.79,0,0,0,0,Adequate
227,Bank 227,East,0.7,2,2,0,0,Watch
228,Bank 228,North,0.64,2,0,1,1,Watch
229,Bank 229,South,0.66,0,0,0,0,Watch
230,Bank 230,North,0.56,1,0,1,0,Below Threshold
231,Bank 231,South,0.96,0,0,0,0,Adequate
232,Bank 232,East,0.53,0,0,0,0,Below Threshold
233,Bank 233,North,0.78,2,0,1,1,Adequate
234,Bank 234,North,0.75,0,0,0,0,Adequate
235,Bank 235,East,0.79,0,0,0,0,Adequate
236,Bank 236,South,0.52,0,0,0,0,Below Threshold
237,Bank 237,North,0.88,0,0,0,0,Adequate
238,Bank 238,South,0.5,1,0,0,1,Below Threshold
239,Bank 239,North,0.79,1,1,0,0,Adequate
240,Bank 240,East,0.73,0,0,0,0,Watch
241,Bank 241,North,0.95,0,0,0,0,Adequate
242,Bank 242,West,0.89,4,1,2,1,Adequate
243,Bank 243,West,0.55,2,2,0,0,Below Threshold
244,Bank 244,West,0.73,0,0,0,0,Watch
245,Bank 245,East,0.56,3,2,1,0,Below Threshold
246,Bank 246,South,0.72,1,0,1,0,Watch
247,Bank 247,East,0.95,0,0,0,0,Adequate
248,Bank 248,North,0.97,1,0,1,0,Adequate
249,Bank 249,South,0.58,1,0,0,1,Below Threshold
250,Bank 250,West,0.83,0,0,0,0,Adequate
251,Bank 251,West,0.72,2,0,0,2,Watch
252,Bank 252,South,0.9,0,0,0,0,Adequate
253,Bank 253,South,0.73,4,2,1,1,Watch
254,Bank 254,South,0.75,2,0,1,1,Adequate
255,Bank 255,East,0.99,0,0,0,0,Adequate
256,Bank 256,East,0.75,0,0,0,0,Adequate
257,Bank 257,North,0.5,1,0,0,1,Below Threshold
258,Bank 258,West,0.57,3,1,0,2,Below Threshold
259,Bank 259,East,0.78,1,1,0,0,Adequate
260,Bank 260,East,0.8,3,0,2,1,Adequate
261,Bank 261,North,0.99,1,0,0,1,Adequate
262,Bank 262,East,0.69,1,0,1,0,Watch
263,Bank 263,West,0.91,0,0,0,0,Adequate
264,Bank 264,West,0.86,2,0,2,0,Adequate
265,Bank 265,South,0.53,0,0,0,0,Below Threshold
266,Bank 266,South,0.62,1,0,1,0,Watch
267,Bank 267,South,0.8,0,0,0,0,Adequate
268,Bank 268,South,0.65,2,1,1,0,Watch
269,Bank 269,North,0.9,0,0,0,0,Adequate
270,Bank 270,North,0.64,0,0,0,0,Watch
271,Bank 271,North,0.69,1,0,0,1,Watch
272,Bank 272,West,0.67,1,1,0,0,Watch
273,Bank 273,West,0.79,1,0,0,1,Adequate
274,Bank 274,West,0.97,0,0,0,0,Adequate
275,Bank 275,South,0.74,3,2,0,1,Watch
276,Bank 276,North,0.93,0,0,0,0,Adequate
277,Bank 277,North,0.93,0,0,0,0,Adequate
278,Bank 278,North,0.57,1,1,0,0,Below Threshold
279,Bank 279,West,0.93,0,0,0,0,Adequate
280,Bank 280,South,0.97,0,0,0,0,Adequate
281,Bank 281,North,0.61,0,0,0,0,Watch
282,Bank 282,East,0.82,0,0,0,0,Adequate
283,Bank 283,East,0.71,2,1,1,0,Watch
284,Bank 284,East,0.83,1,0,1,0,Adequate
285,Bank 285,West,0.54,0,0,0,0,Below Threshold
286,Bank 286,North,0.76,2,0,0,2,Adequate
287,Bank 287,North,0.7,1,0,0,1,Watch
288,Bank 288,North,0.55,3,0,1,2,Below Threshold
289,Bank 289,South,0.79,3,1,2,0,Adequate
290,Bank 290,East,0.87,3,3,0,0,Adequate
291,Bank 291,North,0.89,1,0,1,0,Adequate
292,Bank 292,South,0.69,1,0,0,1,Watch
293,Bank 293,West,0.67,2,2,0,0,Watch
294,Bank 294,South,0.54,0,0,0,0,Below Threshold
295,Bank 295,East,0.69,0,0,0,0,Watch
296,Bank 296,East,0.84,1,0,1,0,Adequate
297,Bank 297,South,0.72,3,0,2,1,Watch
298,Bank 298,West,0.7,3,1,1,1,Watch
299,Bank 299,South,0.97,1,1,0,0,Adequate
300,Bank 300,West,0.69,1,0,0,1,Watch
301,Bank 301,South,0.93,0,0,0,0,Adequate
302,Bank 302,East,0.95,0,0,0,0,Adequate
303,Bank 303,South,0.63,2,2,0,0,Watch
304,Bank 304,North,0.86,0,0,0,0,Adequate
305,Bank 305,East,0.98,0,0,0,0,Adequate
306,Bank 306,South,0.64,0,0,0,0,Watch
307,Bank 307,North,0.81,0,0,0,0,Adequate
308,Bank 308,West,0.99,1,1,0,0,Adequate
309,Bank 309,West,0.51,0,0,0,0,Below Threshold
310,Bank 310,South,0.76,0,0,0,0,Adequate
311,Bank 311,North,0.92,0,0,0,0,Adequate
312,Bank 312,West,0.8,1,0,0,1,Adequate
313,Bank 313,South,0.75,3,2,1,0,Adequate
314,Bank 314,East,1.0,1,1,0,0,Adequate
315,Bank 315,East,0.99,0,0,0,0,Adequate
316,Bank 316,South,0.57,1,0,1,0,Below Threshold
317,Bank 317,South,0.82,0,0,0,0,Adequate
318,Bank 318,South,0.93,0,0,0,0,Adequate
319,Bank 319,West,0.55,4,1,2,1,Below Threshold
320,Bank 320,North,0.9,2,2,0,0,Adequate
321,Bank 321,West,0.73,3,2,1,0,Watch
322,Bank 322,West,0.91,1,0,0,1,Adequate
323,Bank 323,North,0.72,1,0,0,1,Watch
324,Bank 324,West,0.71,1,1,0,0,Watch
325,Bank 325,East,0.86,0,0,0,0,Adequate
326,Bank 326,North,0.51,2,1,1,0,Below Threshold
327,Bank 327,West,0.77,0,0,0,0,Adequate
328,Bank 328,West,0.74,1,0,0,1,Watch
329,Bank 329,West,0.64,1,1,0,0,Watch
330,Bank 330,North,0.54,0,0,0,0,Below Threshold
331,Bank 331,South,0.79,3,0,3,0,Adequate
332,Bank 332,East,0.73,1,1,0,0,Watch
333,Bank 333,South,0.99,3,1,0,2,Adequate
334,Bank 334,East,0.59,0,0,0,0,Below Threshold
335,Bank 335,West,0.97,1,1,0,0,Adequate
336,Bank 336,South,0.93,2,1,0,1,Adequate
337,Bank 337,West,0.6,0,0,0,0,Watch
338,Bank 338,West,0.93,2,0,2,0,Adequate
339,Bank 339,North,0.65,0,0,0,0,Watch
340,Bank 340,West,0.78,1,1,0,0,Adequate
341,Bank 341,West,0.63,2,1,1,0,Watch
342,Bank 342,North,0.55,1,0,1,0,Below Threshold
343,Bank 343,North,0.79,0,0,0,0,Adequate
344,Bank 344,West,0.83,1,1,0,0,Adequate
345,Bank 345,East,0.59,5,2,1,2,Below Threshold
346,Bank 346,West,0.68,1,0,0,1,Watch
347,Bank 347,East,0.96,2,1,0,1,Adequate
348,Bank 348,West,0.99,2,1,1,0,Adequate
349,Bank 349,North,0.79,0,0,0,0,Adequate
350,Bank 350,West,0.72,0,0,0,0,Watch
351,Bank 351,North,0.5,1,1,0,0,Below Threshold
352,Bank 352,North,0.54,0,0,0,0,Below Threshold
353,Bank 353,South,0.84,0,0,0,0,Adequate
354,Bank 354,East,0.85,1,1,0,0,Adequate
355,Bank 355,East,0.99,0,0,0,0,Adequate
356,Bank 356,North,0.9,1,0,0,1,Adequate
357,Bank 357,West,0.51,1,1,0,0,Below Threshold
358,Bank 358,South,0.89,1,0,1,0,Adequate
359,Bank 359,North,0.55,0,0,0,0,Below Threshold
360,Bank 360,North,0.81,3,0,2,1,Adequate
361,Bank 361,East,0.83,1,0,1,0,Adequate
362,Bank 362,West,0.51,0,0,0,0,Below Threshold
363,Bank 363,East,0.63,1,1,0,0,Watch
364,Bank 364,West,0.62,2,1,1,0,Watch
365,Bank 365,West,0.76,2,0,0,2,Adequate
366,Bank 366,South,0.98,1,0,1,0,Adequate
367,Bank 367,West,0.92,0,0,0,0,Adequate
368,Bank 368,West,0.98,0,0,0,0,Adequate
369,Bank 369,East,0.71,2,0,0,2,Watch
370,Bank 370,North,0.77,0,0,0,0,Adequate
371,Bank 371,North,0.96,1,0,1,0,Adequate
372,Bank 372,North,0.71,0,0,0,0,Watch
373,Bank 373,East,0.82,1,0,1,0,Adequate
374,Bank 374,South,0.88,1,0,1,0,Adequate
375,Bank 375,South,0.77,1,0,1,0,Adequate
376,Bank 376,North,0.97,2,2,0,0,Adequate
377,Bank 377,West,0.59,1,1,0,0,Below Threshold
378,Bank 378,West,0.78,0,0,0,0,Adequate
379,Bank 379,South,0.84,1,1,0,0,Adequate
380,Bank 380,South,0.52,1,0,1,0,Below Threshold
381,Bank 381,North,0.66,1,0,0,1,Watch
382,Bank 382,South,0.74,0,0,0,0,Watch
383,Bank 383,West,0.77,2,0,2,0,Adequate
384,Bank 384,North,0.99,1,0,0,1,Adequate
385,Bank 385,North,0.86,1,0,0,1,Adequate
386,Bank 386,West,0.56,4,1,1,2,Below Threshold
387,Bank 387,East,0.78,0,0,0,0,Adequate
388,Bank 388,East,0.95,2,0,1,1,Adequate
389,Bank 389,West,0.79,2,2,0,0,Adequate
390,Bank 390,South,0.77,0,0,0,0,Adequate
391,Bank 391,North,0.53,1,0,1,0,Below Threshold
392,Bank 392,South,0.92,1,0,1,0,Adequate
393,Bank 393,West,0.82,3,1,0,2,Adequate
394,Bank 394,East,0.64,0,0,0,0,Watch
395,Bank 395,South,0.55,0,0,0,0,Below Threshold
396,Bank 396,West,0.59,2,1,1,0,Below Threshold
397,Bank 397,West,0.91,3,3,0,0,Adequate
398,Bank 398,East,0.87,1,0,1,0,Adequate
399,Bank 399,West,0.58,0,0,0,0,Below Threshold
400,Bank 400,North,0.77,1,0,1,0,Adequate
401,Bank 401,West,0.78,0,0,0,0,Adequate
402,Bank 402,North,0.95,2,2,0,0,Adequate
403,Bank 403,South,0.95,0,0,0,0,Adequate
404,Bank 404,West,0.5,1,0,1,0,Below Threshold
405,Bank 405,East,0.82,0,0,0,0,Adequate
406,Bank 406,West,0.97,1,0,0,1,Adequate
407,Bank 407,North,0.97,2,0,2,0,Adequate
408,Bank 408,South,0.73,0,0,0,0,Watch
409,Bank 409,West,0.79,1,1,0,0,Adequate
410,Bank 410,North,0.95,1,0,1,0,Adequate
411,Bank 411,East,0.56,1,0,1,0,Below Threshold
412,Bank 412,East,0.51,0,0,0,0,Below Threshold
413,Bank 413,West,0.87,0,0,0,0,Adequate
414,Bank 414,South,0.69,0,0,0,0,Watch
415,Bank 415,East,0.96,3,1,2,0,Adequate
416,Bank 416,North,0.73,1,1,0,0,Watch
417,Bank 417,South,0.69,1,0,0,1,Watch
418,Bank 418,East,0.92,1,1,0,0,Adequate
419,Bank 419,South,0.99,1,0,0,1,Adequate
420,Bank 420,South,0.77,2,1,0,1,Adequate
421,Bank 421,South,0.58,1,0,1,0,Below Threshold
422,Bank 422,East,0.61,1,0,0,1,Watch
423,Bank 423,South,0.79,0,0,0,0,Adequate
424,Bank 424,East,0.51,1,1,0,0,Below Threshold
425,Bank 425,North,0.87,0,0,0,0,Adequate
426,Bank 426,West,0.88,0,0,0,0,Adequate
427,Bank 427,South,0.98,0,0,0,0,Adequate
428,Bank 428,West,0.73,0,0,0,0,Watch
429,Bank 429,South,0.75,1,1,0,0,Adequate
430,Bank 430,East,0.88,1,0,1,0,Adequate
431,Bank 431,North,0.68,1,1,0,0,Watch
432,Bank 432,West,0.59,1,0,1,0,Below Threshold
433,Bank 433,East,0.84,1,1,0,0,Adequate
434,Bank 434,North,0.65,0,0,0,0,Watch
435,Bank 435,North,0.9,0,0,0,0,Adequate
436,Bank 436,South,0.62,1,0,1,0,Watch
437,Bank 437,South,0.82,0,0,0,0,Adequate
438,Bank 438,West,0.86,0,0,0,0,Adequate
439,Bank 439,West,0.59,0,0,0,0,Below Threshold
440,Bank 440,North,0.88,2,0,1,1,Adequate
441,Bank 441,South,0.57,0,0,0,0,Below Threshold
442,Bank 442,North,0.66,2,0,0,2,Watch
443,Bank 443,North,0.89,1,1,0,0,Adequate
444,Bank 444,North,0.89,0,0,0,0,Adequate
445,Bank 445,West,0.86,0,0,0,0,Adequate
446,Bank 446,East,0.56,1,0,1,0,Below Threshold
447,Bank 447,South,0.77,1,0,0,1,Adequate
448,Bank 448,East,0.79,0,0,0,0,Adequate
449,Bank 449,West,0.55,0,0,0,0,Below Threshold
450,Bank 450,South,0.62,1,0,1,0,Watch
451,Bank 451,South,0.73,1,0,1,0,Watch
452,Bank 452,East,0.6,0,0,0,0,Watch
453,Bank 453,East,0.59,0,0,0,0,Below Threshold
454,Bank 454,North,0.52,2,2,0,0,Below Threshold
455,Bank 455,South,0.86,1,0,0,1,Adequate
456,Bank 456,North,0.55,2,2,0,0,Below Threshold
457,Bank 457,West,0.98,0,0,0,0,Adequate
458,Bank 458,East,0.8,2,1,1,0,Adequate
459,Bank 459,North,1.0,1,0,0,1,Adequate
460,Bank 460,North,0.5,1,0,0,1,Below Threshold
461,Bank 461,North,0.78,2,2,0,0,Adequate
462,Bank 462,North,0.98,1,0,0,1,Adequate
463,Bank 463,West,0.93,1,0,1,0,Adequate
464,Bank 464,North,0.93,1,0,1,0,Adequate
465,Bank 465,South,0.64,1,0,0,1,Watch
466,Bank 466,South,0.58,3,2,1,0,Below Threshold
467,Bank 467,South,0.5,1,0,1,0,Below Threshold
468,Bank 468,East,0.81,1,0,1,0,Adequate
469,Bank 469,South,0.85,3,1,1,1,Adequate
470,Bank 470,South,0.56,3,2,1,0,Below Threshold
471,Bank 471,South,0.97,3,0,1,2,Adequate
472,Bank 472,West,0.78,1,0,1,0,Adequate
473,Bank 473,East,0.79,3,1,2,0,Adequate
474,Bank 474,South,0.84,0,0,0,0,Adequate
475,Bank 475,West,0.53,0,0,0,0,Below Threshold
476,Bank 476,North,0.91,1,1,0,0,Adequate
477,Bank 477,North,0.92,0,0,0,0,Adequate
478,Bank 478,South,0.83,1,0,1,0,Adequate
479,Bank 479,South,0.67,0,0,0,0,Watch
480,Bank 480,North,0.77,1,0,1,0,Adequate
481,Bank 481,South,0.77,1,0,0,1,Adequate
482,Bank 482,South,0.71,0,0,0,0,Watch
483,Bank 483,South,0.6,0,0,0,0,Watch
484,Bank 484,South,0.63,0,0,0,0,Watch
485,Bank 485,East,0.61,0,0,0,0,Watch
486,Bank 486,North,0.58,0,0,0,0,Below Threshold
487,Bank 487,North,0.8,0,0,0,0,Adequate
488,Bank 488,West,0.81,1,1,0,0,Adequate
489,Bank 489,West,0.57,0,0,0,0,Below Threshold
490,Bank 490,East,0.99,2,0,1,1,Adequate
491,Bank 491,South,0.81,0,0,0,0,Adequate
492,Bank 492,West,0.77,1,0,0,1,Adequate
493,Bank 493,South,0.97,1,0,1,0,Adequate
494,Bank 494,North,0.85,1,0,0,1,Adequate
495,Bank 495,North,0.53,0,0,0,0,Below Threshold
496,Bank 496,West,0.59,2,1,0,1,Below Threshold
497,Bank 497,North,0.65,2,0,0,2,Watch
498,Bank 498,South,0.75,0,0,0,0,Adequate
499,Bank 499,West,0.54,0,0,0,0,Below Threshold
500,Bank 500,South,0.88,1,0,0,1,Adequate
501,Bank 501,North,0.95,1,0,0,1,Adequate
502,Bank 502,East,0.66,0,0,0,0,Watch
503,Bank 503,North,0.72,0,0,0,0,Watch
504,Bank 504,North,0.6,3,1,1,1,Watch
505,Bank 505,East,0.7,0,0,0,0,Watch
506,Bank 506,South,0.92,0,0,0,0,Adequate
507,Bank 507,East,0.82,0,0,0,0,Adequate
508,Bank 508,West,0.54,4,1,2,1,Below Threshold
509,Bank 509,North,0.74,2,1,0,1,Watch
