bank_id,name,region,compliance_score,txn_frequency,avg_txn_amount,total_txn_amount,high_risk_txn_count,high_risk_txn_pct,sanctioned_account_count,bank_risk_score,risk_rank
906,Bank 906,South,0.72,2,7149.85,14299.7,2,100.0,2,61.2,45
974,Bank 974,West,0.72,2,4296.65,8593.29,2,100.0,2,61.2,45
980,Bank 980,West,0.72,1,3735.99,3735.99,1,100.0,2,61.2,45
630,Bank 630,East,0.74,3,4328.76,12986.28,2,66.67,3,60.4,49
238,Bank 238,South,0.5,1,2708.88,2708.88,1,100.0,1,60.0,50
351,Bank 351,North,0.5,1,1633.7,1633.7,1,100.0,1,60.0,50
844,Bank 844,North,0.75,1,1773.87,1773.87,1,100.0,2,60.0,50
999,Bank 999,East,0.76,3,4140.48,12421.45,2,66.67,4,59.6,53
854,Bank 854,East,0.52,1,6821.33,6821.33,1,100.0,1,59.2,54
910,Bank 910,South,0.52,1,2280.84,2280.84,1,100.0,1,59.2,54
996,Bank 996,East,0.77,2,5425.1,10850.2,2,100.0,2,59.2,54
514,Bank 514,North,0.53,1,9355.9,9355.9,1,100.0,1,58.8,57
746,Bank 746,North,0.53,2,3327.95,6655.91,2,100.0,1,58.8,57
52,Bank 52,North,0.79,3,5685.15,17055.46,2,66.67,3,58.4,59
787,Bank 787,West,0.54,1,1804.21,1804.21,1,100.0,1,58.4,59
955,Bank 955,North,0.54,1,251.09,251.09,1,100.0,1,58.4,59
575,Bank 575,West,0.55,1,7262.49,7262.49,1,100.0,1,58.0,62
748,Bank 748,South,0.8,1,1571.33,1571.33,1,100.0,2,58.0,62
1010,Bank 1010,North,0.8,1,6572.08,6572.08,1,100.0,2,58.0,62
707,Bank 707,North,0.81,1,375.34,375.34,1,100.0,2,57.6,65
858,Bank 858,West,0.56,1,5600.47,5600.47,1,100.0,1,57.6,65
682,Bank 682,West,0.82,1,8957.62,8957.62,1,100.0,2,57.2,67
790,Bank 790,South,0.57,2,3182.7,6365.4,2,100.0,1,57.2,67
793,Bank 793,South,0.82,2,8418.19,16836.39,2,100.0,2,57.2,67
518,Bank 518,North,0.58,1,3114.5,3114.5,1,100.0,1,56.8,70
571,Bank 571,East,0.83,1,980.92,980.92,1,100.0,2,56.8,70
639,Bank 639,South,0.58,1,1081.23,1081.23,1,100.0,1,56.8,70
134,Bank 134,North,0.59,1,1884.82,1884.82,1,100.0,1,56.4,73
652,Bank 652,North,0.84,1,4704.76,4704.76,1,100.0,2,56.4,73
963,Bank 963,North,0.84,1,4851.24,4851.24,1,100.0,2,56.4,73
225,Bank 225,West,0.73,2,3428.74,6857.47,1,50.0,4,55.8,76
189,Bank 189,West,0.86,1,6413.72,6413.72,1,100.0,2,55.6,77
214,Bank 214,East,0.86,1,9663.3,9663.3,1,100.0,2,55.6,77
264,Bank 264,West,0.86,1,8287.55,8287.55,1,100.0,2,55.6,77
422,Bank 422,East,0.61,2,2148.08,4296.16,2,100.0,1,55.6,77
807,Bank 807,South,0.86,1,7294.25,7294.25,1,100.0,2,55.6,77
925,Bank 925,North,0.87,2,7902.48,15804.96,2,100.0,2,55.2,82
363,Bank 363,East,0.63,1,2767.09,2767.09,1,100.0,1,54.8,83
440,Bank 440,North,0.88,2,4430.17,8860.35,2,100.0,2,54.8,83
800,Bank 800,East,0.88,1,6392.35,6392.35,1,100.0,2,54.8,83
191,Bank 191,East,0.89,1,5939.31,5939.31,1,100.0,2,54.4,86
797,Bank 797,West,0.64,1,3891.31,3891.31,1,100.0,1,54.4,86
320,Bank 320,North,0.9,1,9434.14,9434.14,1,100.0,2,54.0,88
600,Bank 600,North,0.66,1,6001.63,6001.63,1,100.0,1,53.6,89
616,Bank 616,East,0.66,3,5486.31,16458.92,2,66.67,2,53.6,89
928,Bank 928,North,0.66,1,4610.14,4610.14,1,100.0,1,53.6,89
212,Bank 212,West,0.92,2,5097.2,10194.4,2,100.0,2,53.2,92
554,Bank 554,South,0.67,1,1806.41,1806.41,1,100.0,1,53.2,92
260,Bank 260,East,0.8,2,4831.4,9662.79,1,50.0,3,53.0,94
262,Bank 262,East,0.69,2,3870.59,7741.18,2,100.0,1,52.4,95
896,Bank 896,South,0.69,1,5682.56,5682.56,1,100.0,1,52.4,95
393,Bank 393,West,0.82,2,4257.11,8514.23,1,50.0,3,52.2,97
598,Bank 598,South,0.57,2,4690.58,9381.15,1,50.0,2,52.2,97
388,Bank 388,East,0.95,1,2273.83,2273.83,1,100.0,2,52.0,99
885,Bank 885,North,0.7,2,4059.56,8119.12,2,100.0,1,52.0,99
20,Bank 20,West,0.71,2,3039.84,6079.68,2,100.0,1,51.6,101
927,Bank 927,East,0.71,1,5439.16,5439.16,1,100.0,1,51.6,101
323,Bank 323,North,0.72,1,6753.55,6753.55,1,100.0,1,51.2,103
988,Bank 988,North,0.97,3,6149.62,18448.86,3,100.0,2,51.2,103
138,Bank 138,West,0.6,2,1628.49,3256.97,1,50.0,2,51.0,105
332,Bank 332,East,0.73,1,663.62,663.62,1,100.0,1,50.8,106
605,Bank 605,East,0.74,2,2681.78,5363.56,2,100.0,1,50.4,107
613,Bank 613,East,0.74,1,8685.31,8685.31,1,100.0,1,50.4,107
930,Bank 930,West,0.74,3,4388.33,13164.99,2,66.67,2,50.4,107
530,Bank 530,East,0.5,3,5686.95,17060.86,1,33.33,2,50.0,110
584,Bank 584,North,0.5,1,1816.67,1816.67,1,100.0,0,50.0,110
751,Bank 751,West,0.5,1,8457.56,8457.56,1,100.0,0,50.0,110
960,Bank 960,East,0.75,1,4503.43,4503.43,1,100.0,1,50.0,110
286,Bank 286,North,0.76,3,3838.79,11516.37,2,66.67,2,49.6,114
309,Bank 309,West,0.51,1,2862.95,2862.95,1,100.0,0,49.6,114
913,Bank 913,West,0.51,0,,0.0,0,,3,49.6,114
480,Bank 480,North,0.77,1,6825.12,6825.12,1,100.0,1,49.2,117
481,Bank 481,South,0.77,1,6808.62,6808.62,1,100.0,1,49.2,117
533,Bank 533,East,0.52,1,6888.92,6888.92,1,100.0,0,49.2,117
615,Bank 615,North,0.52,3,3039.72,9119.15,3,100.0,0,49.2,117
768,Bank 768,North,0.77,1,5205.17,5205.17,1,100.0,1,49.2,117
862,Bank 862,West,0.77,1,89.41,89.41,1,100.0,1,49.2,117
874,Bank 874,West,0.77,1,8529.58,8529.58,1,100.0,1,49.2,117
918,Bank 918,South,0.52,1,3637.41,3637.41,1,100.0,0,49.2,117
497,Bank 497,North,0.65,2,3886.67,7773.34,1,50.0,2,49.0,125
882,Bank 882,East,0.65,2,2752.81,5505.61,1,50.0,2,49.0,125
552,Bank 552,South,0.78,1,6647.48,6647.48,1,100.0,1,48.8,127
743,Bank 743,North,0.53,1,6738.57,6738.57,1,100.0,0,48.8,127
933,Bank 933,East,0.53,1,831.12,831.12,1,100.0,0,48.8,127
397,Bank 397,West,0.91,2,4260.45,8520.91,1,50.0,3,48.6,130
147,Bank 147,West,0.59,5,6028.16,30140.78,2,40.0,2,48.4,131
154,Bank 154,South,0.79,1,4558.89,4558.89,1,100.0,1,48.4,131
166,Bank 166,South,0.54,1,8244.88,8244.88,1,100.0,0,48.4,131
273,Bank 273,West,0.79,1,2330.47,2330.47,1,100.0,1,48.4,131
546,Bank 546,West,0.54,3,2117.95,6353.86,3,100.0,0,48.4,131
666,Bank 666,East,0.79,2,4729.52,9459.03,2,100.0,1,48.4,131
671,Bank 671,South,0.54,1,578.19,578.19,1,100.0,0,48.4,131
794,Bank 794,South,0.79,1,3894.03,3894.03,1,100.0,1,48.4,131
937,Bank 937,South,0.54,1,2723.36,2723.36,1,100.0,0,48.4,131
30,Bank 30,East,0.92,2,4454.25,8908.5,1,50.0,4,48.2,140
72,Bank 72,South,0.55,2,4417.55,8835.09,2,100.0,0,48.0,141
74,Bank 74,West,0.55,1,5899.61,5899.61,1,100.0,0,48.0,141
100,Bank 100,West,0.55,0,,0.0,0,,3,48.0,141
123,Bank 123,South,0.8,2,6415.07,12830.14,2,100.0,1,48.0,141
312,Bank 312,West,0.8,1,1300.78,1300.78,1,100.0,1,48.0,141
319,Bank 319,West,0.55,0,,0.0,0,,4,48.0,141
537,Bank 537,North,0.55,2,3858.19,7716.39,2,100.0,0,48.0,141
54,Bank 54,West,0.81,2,3841.42,7682.84,2,100.0,1,47.6,148
210,Bank 210,North,0.56,1,2198.71,2198.71,0,0.0,3,47.6,148
245,Bank 245,East,0.56,0,,0.0,0,,3,47.6,148
386,Bank 386,West,0.56,1,6886.38,6886.38,0,0.0,4,47.6,148
488,Bank 488,West,0.81,1,6408.91,6408.91,1,100.0,1,47.6,148
688,Bank 688,West,0.81,3,1597.0,4791.01,2,66.67,2,47.6,148
753,Bank 753,North,0.81,1,8881.09,8881.09,1,100.0,1,47.6,148
258,Bank 258,West,0.57,0,,0.0,0,,3,47.2,155
278,Bank 278,North,0.57,3,6145.59,18436.77,2,66.67,1,47.2,155
519,Bank 519,East,0.82,2,6053.76,12107.51,2,100.0,1,47.2,155
847,Bank 847,West,0.57,0,,0.0,0,,5,47.2,155
869,Bank 869,East,0.82,1,5989.25,5989.25,1,100.0,1,47.2,155
843,Bank 843,South,0.95,2,4856.85,9713.69,1,50.0,3,47.0,160
196,Bank 196,North,0.58,1,1822.57,1822.57,1,100.0,0,46.8,161
466,Bank 466,South,0.58,0,,0.0,0,,3,46.8,161
669,Bank 669,South,0.58,1,1105.99,1105.99,1,100.0,0,46.8,161
835,Bank 835,North,0.83,1,6338.1,6338.1,1,100.0,1,46.8,161
875,Bank 875,South,0.58,3,6253.17,18759.51,2,66.67,1,46.8,161
760,Bank 760,East,0.71,2,6081.53,12163.05,1,50.0,2,46.6,166
345,Bank 345,East,0.59,0,,0.0,0,,5,46.4,167
379,Bank 379,South,0.84,1,8706.3,8706.3,1,100.0,1,46.4,167
700,Bank 700,West,0.59,1,3828.55,3828.55,1,100.0,0,46.4,167
130,Bank 130,North,0.6,1,6234.57,6234.57,1,100.0,0,46.0,170
452,Bank 452,East,0.6,1,4123.7,4123.7,1,100.0,0,46.0,170
504,Bank 504,North,0.6,1,1372.39,1372.39,0,0.0,3,46.0,170
588,Bank 588,North,0.85,2,6389.14,12778.27,2,100.0,1,46.0,170
385,Bank 385,North,0.86,1,9118.16,9118.16,1,100.0,1,45.6,174
455,Bank 455,South,0.86,2,5400.93,10801.87,2,100.0,1,45.6,174
681,Bank 681,South,0.86,1,2658.78,2658.78,1,100.0,1,45.6,174
935,Bank 935,East,0.86,2,7956.45,15912.91,2,100.0,1,45.6,174
9,"Brown, Lawrence and Chaney",West,0.62,1,8910.06,8910.06,1,100.0,0,45.2,178
64,Bank 64,West,0.87,1,2209.98,2209.98,1,100.0,1,45.2,178
66,Bank 66,East,0.62,1,7005.88,7005.88,1,100.0,0,45.2,178
684,Bank 684,West,0.62,1,9020.73,9020.73,1,100.0,0,45.2,178
865,Bank 865,East,0.62,1,1594.56,1594.56,0,0.0,4,45.2,178
108,Bank 108,South,0.5,2,673.98,1347.96,1,50.0,1,45.0,183
148,Bank 148,South,0.88,2,6807.28,13614.57,2,100.0,1,44.8,184
484,Bank 484,South,0.63,1,5909.94,5909.94,1,100.0,0,44.8,184
698,Bank 698,East,0.88,2,3511.7,7023.41,2,100.0,1,44.8,184
783,Bank 783,South,0.88,1,564.79,564.79,1,100.0,1,44.8,184
982,Bank 982,South,0.88,1,3131.17,3131.17,1,100.0,1,44.8,184
42,Bank 42,North,0.51,2,3165.25,6330.49,1,50.0,1,44.6,189
98,Bank 98,West,0.51,2,3515.37,7030.74,1,50.0,1,44.6,189
365,Bank 365,West,0.76,2,4872.31,9744.61,1,50.0,2,44.6,189
608,Bank 608,West,0.76,2,7502.03,15004.07,1,50.0,2,44.6,189
49,Bank 49,South,0.89,2,8361.24,16722.47,2,100.0,1,44.4,193
164,Bank 164,North,0.64,3,4394.43,13183.29,3,100.0,0,44.4,193
306,Bank 306,South,0.64,1,2639.87,2639.87,1,100.0,0,44.4,193
394,Bank 394,East,0.64,1,6382.45,6382.45,1,100.0,0,44.4,193
465,Bank 465,South,0.64,3,1929.5,5788.51,2,66.67,1,44.4,193
621,Bank 621,East,0.89,1,2657.98,2657.98,1,100.0,1,44.4,193
691,Bank 691,East,0.89,1,8077.89,8077.89,1,100.0,1,44.4,193
821,Bank 821,North,0.89,1,3571.16,3571.16,1,100.0,1,44.4,193
39,Bank 39,North,0.65,1,1556.59,1556.59,1,100.0,0,44.0,201
153,Bank 153,West,0.65,1,6382.82,6382.82,1,100.0,0,44.0,201
434,Bank 434,North,0.65,2,8687.36,17374.72,2,100.0,0,44.0,201
612,Bank 612,East,0.9,2,6618.41,13236.82,2,100.0,1,44.0,201
233,Bank 233,North,0.78,2,8657.09,17314.18,1,50.0,2,43.8,205
614,Bank 614,West,0.53,2,2736.65,5473.3,1,50.0,1,43.8,205
852,Bank 852,North,0.53,2,4775.62,9551.23,1,50.0,1,43.8,205
941,Bank 941,West,0.78,2,6378.68,12757.35,1,50.0,2,43.8,205
58,Bank 58,North,0.66,3,6855.96,20567.87,2,66.67,1,43.6,209
162,Bank 162,West,0.91,1,1472.6,1472.6,1,100.0,1,43.6,209
381,Bank 381,North,0.66,3,2675.51,8026.52,2,66.67,1,43.6,209
517,Bank 517,West,0.91,1,4705.28,4705.28,1,100.0,1,43.6,209
524,Bank 524,South,0.66,1,5624.12,5624.12,1,100.0,0,43.6,209
699,Bank 699,North,0.66,1,4150.01,4150.01,1,100.0,0,43.6,209
953,Bank 953,East,0.91,1,9265.02,9265.02,1,100.0,1,43.6,209
479,Bank 479,South,0.67,1,8445.78,8445.78,1,100.0,0,43.2,216
510,Bank 510,West,0.67,1,8734.12,8734.12,1,100.0,0,43.2,216
547,Bank 547,North,0.92,1,7797.02,7797.02,1,100.0,1,43.2,216
601,Bank 601,East,0.67,1,5122.28,5122.28,0,0.0,3,43.2,216
766,Bank 766,East,0.67,3,3378.94,10136.81,3,100.0,0,43.2,216
801,Bank 801,South,0.92,1,5108.84,5108.84,1,100.0,1,43.2,216
879,Bank 879,East,0.67,3,5948.25,17844.75,2,66.67,1,43.2,216
890,Bank 890,North,0.67,0,,0.0,0,,5,43.2,216
122,Bank 122,West,0.55,2,7898.41,15796.81,1,50.0,1,43.0,224
342,Bank 342,North,0.55,2,4031.2,8062.4,1,50.0,1,43.0,224
111,Bank 111,West,0.68,1,8721.51,8721.51,1,100.0,0,42.8,226
463,Bank 463,West,0.93,1,1976.69,1976.69,1,100.0,1,42.8,226
464,Bank 464,North,0.93,1,9228.75,9228.75,1,100.0,1,42.8,226
589,Bank 589,East,0.68,1,4662.69,4662.69,1,100.0,0,42.8,226
840,Bank 840,South,0.93,1,2377.28,2377.28,1,100.0,1,42.8,226
230,Bank 230,North,0.56,2,9017.95,18035.91,1,50.0,1,42.6,231
47,Bank 47,East,0.69,0,,0.0,0,,4,42.4,232
158,Bank 158,North,0.69,1,7233.76,7233.76,0,0.0,3,42.4,232
414,Bank 414,South,0.69,1,8046.96,8046.96,1,100.0,0,42.4,232
966,Bank 966,East,0.69,0,,0.0,0,,4,42.4,232
44,Bank 44,East,0.95,1,4915.54,4915.54,1,100.0,1,42.0,236
201,Bank 201,South,0.95,1,3331.77,3331.77,1,100.0,1,42.0,236
298,Bank 298,West,0.7,0,,0.0,0,,3,42.0,236
410,Bank 410,North,0.95,1,823.07,823.07,1,100.0,1,42.0,236
727,Bank 727,North,0.7,1,5453.36,5453.36,0,0.0,3,42.0,236
734,Bank 734,West,0.7,0,,0.0,0,,3,42.0,236
759,Bank 759,North,0.58,2,7595.1,15190.19,1,50.0,1,41.8,242
848,Bank 848,North,0.58,2,4587.08,9174.16,1,50.0,1,41.8,242
145,Bank 145,South,0.71,0,,0.0,0,,5,41.6,244
482,Bank 482,South,0.71,2,7096.82,14193.64,2,100.0,0,41.6,244
573,Bank 573,East,0.71,2,2163.22,4326.44,2,100.0,0,41.6,244
826,Bank 826,East,0.71,0,,0.0,0,,3,41.6,244
834,Bank 834,South,0.71,1,135.47,135.47,1,100.0,0,41.6,244
527,Bank 527,West,0.59,2,2337.31,4674.62,1,50.0,1,41.4,249
46,Bank 46,West,0.97,1,604.57,604.57,1,100.0,1,41.2,250
103,Bank 103,North,0.97,3,6436.58,19309.75,2,66.67,2,41.2,250
248,Bank 248,North,0.97,1,1295.05,1295.05,1,100.0,1,41.2,250
297,Bank 297,South,0.72,1,5067.72,5067.72,0,0.0,3,41.2,250
493,Bank 493,South,0.97,1,7579.24,7579.24,1,100.0,1,41.2,250
675,Bank 675,North,0.97,2,7465.21,14930.42,2,100.0,1,41.2,250
719,Bank 719,North,0.72,1,8165.41,8165.41,1,100.0,0,41.2,250
868,Bank 868,West,0.72,2,235.51,471.02,0,0.0,3,41.2,250
146,Bank 146,West,0.6,2,5328.1,10656.19,1,50.0,1,41.0,258
209,Bank 209,West,0.73,0,,0.0,0,,4,40.8,259
240,Bank 240,East,0.73,2,7952.64,15905.28,2,100.0,0,40.8,259
253,Bank 253,South,0.73,0,,0.0,0,,4,40.8,259
408,Bank 408,South,0.73,3,5354.89,16064.68,3,100.0,0,40.8,259
877,Bank 877,South,0.73,0,,0.0,0,,3,40.8,259
33,Bank 33,East,0.61,2,5159.48,10318.97,1,50.0,1,40.6,264
789,Bank 789,West,0.61,2,6049.34,12098.67,1,50.0,1,40.6,264
275,Bank 275,South,0.74,0,,0.0,0,,3,40.4,266
667,Bank 667,West,0.99,1,3084.57,3084.57,1,100.0,1,40.4,266
157,Bank 157,North,0.62,2,5768.07,11536.13,1,50.0,1,40.2,268
450,Bank 450,South,0.62,4,1783.81,7135.23,2,50.0,1,40.2,268
128,Bank 128,East,0.75,3,6057.99,18173.96,1,33.33,2,40.0,270
188,Bank 188,East,0.5,0,,0.0,0,,2,40.0,270
234,Bank 234,North,0.75,1,4228.66,4228.66,1,100.0,0,40.0,270
254,Bank 254,South,0.75,3,8519.95,25559.86,1,33.33,2,40.0,270
881,Bank 881,North,1.0,1,3383.69,3383.69,1,100.0,1,40.0,270
223,Bank 223,East,0.51,1,2428.46,2428.46,0,0.0,2,39.6,275
326,Bank 326,North,0.51,0,,0.0,0,,2,39.6,275
618,Bank 618,West,0.76,1,7964.42,7964.42,1,100.0,0,39.6,275
902,Bank 902,West,0.76,1,6276.0,6276.0,0,0.0,3,39.6,275
163,Bank 163,East,0.52,0,,0.0,0,,2,39.2,279
187,Bank 187,East,0.77,0,,0.0,0,,3,39.2,279
454,Bank 454,North,0.52,0,,0.0,0,,2,39.2,279
580,Bank 580,West,0.52,1,5585.25,5585.25,0,0.0,2,39.2,279
664,Bank 664,West,0.77,0,,0.0,0,,3,39.2,279
769,Bank 769,South,0.52,0,,0.0,0,,2,39.2,279
926,Bank 926,South,0.77,1,2612.29,2612.29,1,100.0,0,39.2,279
649,Bank 649,North,0.65,2,4209.13,8418.26,1,50.0,1,39.0,286
433,Bank 433,East,0.84,4,6597.11,26388.45,3,75.0,1,38.9,287
378,Bank 378,West,0.78,1,1877.07,1877.07,1,100.0,0,38.8,288
683,Bank 683,West,0.78,1,4826.96,4826.96,1,100.0,0,38.8,288
754,Bank 754,South,0.78,1,9308.24,9308.24,1,100.0,0,38.8,288
788,Bank 788,West,0.91,2,3721.22,7442.44,1,50.0,2,38.6,291
289,Bank 289,South,0.79,0,,0.0,0,,3,38.4,292
331,Bank 331,South,0.79,0,,0.0,0,,3,38.4,292
343,Bank 343,North,0.79,1,6969.96,6969.96,1,100.0,0,38.4,292
349,Bank 349,North,0.79,1,1246.47,1246.47,1,100.0,0,38.4,292
473,Bank 473,East,0.79,0,,0.0,0,,3,38.4,292
592,Bank 592,North,0.54,0,,0.0,0,,2,38.4,292
765,Bank 765,South,0.79,2,4448.6,8897.21,2,100.0,0,38.4,292
55,Bank 55,East,0.55,0,,0.0,0,,2,38.0,299
57,Bank 57,West,0.55,0,,0.0,0,,2,38.0,299
243,Bank 243,West,0.55,2,7586.95,15173.91,0,0.0,2,38.0,299
456,Bank 456,North,0.55,0,,0.0,0,,2,38.0,299
535,Bank 535,East,0.55,3,8142.9,24428.69,1,33.33,1,38.0,299
897,Bank 897,North,0.8,1,5555.16,5555.16,1,100.0,0,38.0,299
909,Bank 909,South,0.55,0,,0.0,0,,2,38.0,299
336,Bank 336,South,0.93,2,3302.9,6605.81,1,50.0,2,37.8,306
7,"Garcia, Smith and Woods",West,0.81,1,3057.17,3057.17,1,100.0,0,37.6,307
79,Bank 79,North,0.56,1,9730.33,9730.33,0,0.0,2,37.6,307
218,Bank 218,East,0.81,2,3402.06,6804.12,2,100.0,0,37.6,307
515,Bank 515,North,0.81,1,5916.62,5916.62,1,100.0,0,37.6,307
995,Bank 995,North,0.94,2,6817.18,13634.35,1,50.0,2,37.4,311
282,Bank 282,East,0.82,2,3372.72,6745.43,2,100.0,0,37.2,312
317,Bank 317,South,0.82,1,2512.69,2512.69,1,100.0,0,37.2,312
405,Bank 405,East,0.82,1,7190.82,7190.82,1,100.0,0,37.2,312
437,Bank 437,South,0.82,1,5069.65,5069.65,1,100.0,0,37.2,312
559,Bank 559,East,0.82,0,,0.0,0,,4,37.2,312
650,Bank 650,South,0.57,0,,0.0,0,,2,37.2,312
740,Bank 740,North,0.82,2,6247.26,12494.51,2,100.0,0,37.2,312
914,Bank 914,South,0.82,1,2752.02,2752.02,0,0.0,3,37.2,312
53,Bank 53,North,0.83,1,281.57,281.57,1,100.0,0,36.8,320
216,Bank 216,North,0.58,0,,0.0,0,,2,36.8,320
250,Bank 250,West,0.83,2,4301.98,8603.96,2,100.0,0,36.8,320
557,Bank 557,West,0.58,3,6193.24,18579.71,1,33.33,1,36.8,320
968,Bank 968,North,0.83,2,2723.43,5446.86,2,100.0,0,36.8,320
50,Bank 50,East,0.84,3,3217.8,9653.39,3,100.0,0,36.4,325
330,Bank 330,North,0.54,5,5294.15,26470.76,3,60.0,0,36.4,325
396,Bank 396,West,0.59,1,4102.58,4102.58,0,0.0,2,36.4,325
496,Bank 496,West,0.59,1,7635.07,7635.07,0,0.0,2,36.4,325
521,Bank 521,South,0.84,1,6902.88,6902.88,0,0.0,3,36.4,325
755,Bank 755,West,0.84,1,5426.31,5426.31,1,100.0,0,36.4,325
924,Bank 924,South,0.59,2,5693.16,11386.31,0,0.0,2,36.4,325
958,Bank 958,North,0.84,3,5457.02,16371.06,2,66.67,1,36.4,325
898,Bank 898,North,0.72,2,6962.48,13924.97,1,50.0,1,36.2,333
43,Bank 43,North,0.85,1,6418.22,6418.22,1,100.0,0,36.0,334
715,Bank 715,West,0.79,4,5278.6,21114.42,1,25.0,2,35.9,335
113,Bank 113,North,0.73,2,5141.7,10283.41,1,50.0,1,35.8,336
77,Bank 77,West,0.86,1,4104.49,4104.49,1,100.0,0,35.6,337
304,Bank 304,North,0.86,1,7536.55,7536.55,1,100.0,0,35.6,337
438,Bank 438,West,0.86,2,3593.29,7186.58,2,100.0,0,35.6,337
631,Bank 631,East,0.86,3,6415.2,19245.6,0,0.0,3,35.6,337
818,Bank 818,West,0.61,0,,0.0,0,,2,35.6,337
921,Bank 921,North,0.61,0,,0.0,0,,2,35.6,337
95,Bank 95,East,0.62,1,5402.65,5402.65,0,0.0,2,35.2,343
364,Bank 364,West,0.62,1,3637.94,3637.94,0,0.0,2,35.2,343
425,Bank 425,North,0.87,2,4949.66,9899.31,2,100.0,0,35.2,343
540,Bank 540,North,0.87,0,,0.0,0,,3,35.2,343
622,Bank 622,West,0.92,5,3566.54,17832.69,2,40.0,2,35.2,343
767,Bank 767,East,0.87,1,1280.33,1280.33,1,100.0,0,35.2,343
171,Bank 171,East,0.75,2,4129.56,8259.12,1,50.0,1,35.0,349
744,Bank 744,North,0.75,2,5396.17,10792.34,1,50.0,1,35.0,349
65,Bank 65,North,0.88,3,2633.04,7899.13,2,66.67,1,34.8,351
199,Bank 199,North,0.63,3,5312.97,15938.91,1,33.33,1,34.8,351
303,Bank 303,South,0.63,0,,0.0,0,,2,34.8,351
341,Bank 341,West,0.63,2,2633.44,5266.87,0,0.0,2,34.8,351
